timestamp,idx,path,c1,c2,c3,p1,p2,p3
1613834444.817376,16,short_path,39531,162500,162474,0.0,0.0,0.0
1613834444.906663,16,short_path,39502,162409,162385,0.0,0.0,0.0
1613834444.907253,0,long_path,8266,8558,8632,0.0,0.0,0.0
1613834444.997296,16,short_path,39604,162419,162338,0.0,0.0,0.0
1613834444.9984052,0,long_path,8293,8628,8624,0.0,0.0,0.0
1613834445.086292,16,short_path,39464,162384,162358,0.0,0.0,0.0
1613834445.086694,0,long_path,8280,8583,8580,0.0,0.0,0.0
1613834445.1763,16,short_path,39489,162420,162368,0.0,0.0,0.0
1613834445.176728,0,long_path,8277,8579,8596,0.0,0.0,0.0
1613834445.266722,16,short_path,39494,162336,162289,0.0,0.0,0.0
1613834445.267318,0,long_path,8307,8585,8611,0.0,0.0,0.0
1613834445.356212,16,short_path,39510,162278,162261,0.0,0.0,0.0
1613834445.356808,0,long_path,8637,8603,8624,0.0,0.0,0.0
1613834445.446362,16,short_path,39484,162259,162192,0.0,0.0,0.0
1613834445.446752,0,long_path,8284,8406,8635,0.0,0.0,0.0
1613834445.536449,16,short_path,39507,162223,162131,0.0,0.0,0.0
1613834445.536936,0,long_path,8311,8632,8558,0.0,0.0,0.0
1613834445.626444,16,short_path,39539,162358,162327,0.0,0.0,0.0
1613834445.626871,0,long_path,8291,8603,8597,0.0,0.0,0.0
1613834445.716737,16,short_path,39543,162420,162391,0.0,0.0,0.0
1613834445.717327,0,long_path,8272,8640,8601,0.0,0.0,0.0
1613834445.807051,16,short_path,39573,162512,162464,0.0,0.0,0.0
1613834445.8075762,0,long_path,8295,8543,8594,0.0,0.0,0.0
1613834445.89692,16,short_path,39548,162547,162478,0.0,0.0,0.0
1613834445.8974879,0,long_path,8292,8605,8651,0.0,0.0,0.0
1613834445.986203,16,short_path,39659,162327,162274,0.0,0.0,0.0
1613834445.98663,0,long_path,8269,8627,8636,0.0,0.0,0.0
1613834446.106289,16,short_path,39508,162234,162213,0.0,0.0,0.0
1613834446.106674,0,long_path,8310,8592,8606,0.0,0.0,0.0
1613834446.181611,16,short_path,39613,162297,162244,0.0,0.0,0.0
1613834446.182176,0,long_path,8430,8639,8602,0.0,0.0,0.0
1613834446.256642,16,short_path,39499,162299,162252,0.0,0.0,0.0
1613834446.257233,0,long_path,8303,8625,8640,0.0,0.0,0.0
1613834446.361723,16,short_path,39506,162301,162303,0.0,0.0,0.0
1613834446.362069,0,long_path,8637,8574,8586,0.0,0.0,0.0
1613834446.4366632,16,short_path,39480,162368,162488,0.0,0.0,0.0
1613834446.437172,0,long_path,8268,8592,8685,0.0,0.0,0.0
1613834446.526901,16,short_path,39538,162424,162326,0.0,0.0,0.0
1613834446.5275,0,long_path,8327,8634,8581,0.0,0.0,0.0
1613834446.616866,16,short_path,39527,162374,162306,0.0,0.0,0.0
1613834446.617329,0,long_path,8288,8626,8604,0.0,0.0,0.0
1613834446.7067719,16,short_path,39546,162480,162458,0.0,0.0,0.0
1613834446.7073789,0,long_path,8279,8641,8599,0.0,0.0,0.0
1613834446.7969909,16,short_path,39557,162449,162425,0.0,0.0,0.0
1613834446.7975948,0,long_path,8277,8610,8621,0.0,0.0,0.0
1613834446.8871691,16,short_path,39580,162546,162465,0.0,0.0,0.0
1613834446.887711,0,long_path,8261,8556,8629,0.0,0.0,0.0
1613834446.976653,16,short_path,39459,162648,162592,0.0,0.0,0.0
1613834446.977192,0,long_path,8263,8607,8607,0.0,0.0,0.0
1613834447.066474,16,short_path,39605,162700,162669,0.0,0.0,0.0
1613834447.066972,0,long_path,8273,8573,8611,0.0,0.0,0.0
1613834447.1568918,16,short_path,39603,162778,162731,0.0,0.0,0.0
1613834447.157564,0,long_path,8673,8638,8629,0.0,0.0,0.0
1613834447.246502,16,short_path,39648,162752,162727,0.0,0.0,0.0
1613834447.247106,0,long_path,8289,31792,8619,0.0,0.0,0.0
1613834447.339088,16,short_path,39623,162671,162629,0.0,0.0,0.0
1613834447.339417,0,long_path,8326,8592,8628,0.0,0.0,0.0
1613834447.426892,16,short_path,39589,162608,162737,0.0,0.0,0.0
1613834447.427504,0,long_path,8253,8615,8909,0.0,0.0,0.0
1613834447.5168,16,short_path,39618,162621,162598,0.0,0.0,0.0
1613834447.517401,0,long_path,8285,8602,8597,0.0,0.0,0.0
1613834447.606405,16,short_path,39639,162666,162620,0.0,0.0,0.0
1613834447.606882,0,long_path,8253,8563,8575,0.0,0.0,0.0
1613834447.697004,16,short_path,39638,162745,162657,0.0,0.0,0.0
1613834447.697477,0,long_path,8333,8659,8613,0.0,0.0,0.0
1613834447.802072,16,short_path,39630,162776,162754,0.0,0.0,0.0
1613834447.802651,0,long_path,8302,8612,8554,0.0,0.0,0.0
1613834447.891722,16,short_path,39675,162882,162810,0.0,0.0,0.0
1613834447.892318,0,long_path,8310,8641,8627,0.0,0.0,0.0
1613834447.967138,16,short_path,39531,162713,162656,0.0,0.0,0.0
1613834447.9676301,0,long_path,8265,8588,8605,0.0,0.0,0.0
1613834448.056997,16,short_path,39662,162670,162634,0.0,0.0,0.0
1613834448.057777,0,long_path,8267,8597,8592,0.0,0.0,0.0
1613834448.1469388,16,short_path,39679,162764,162717,0.0,0.0,0.0
1613834448.147557,0,long_path,8574,8618,8602,0.0,0.0,0.0
1613834448.236944,16,short_path,39681,162748,162690,0.0,0.0,0.0
1613834448.237383,0,long_path,8285,31869,8578,0.0,0.0,0.0
1613834448.326425,16,short_path,39694,162696,162300,0.0,0.0,0.0
1613834448.3271549,0,long_path,8276,8596,8488,0.0,0.0,0.0
1613834448.416887,16,short_path,39665,162635,162596,0.0,0.0,0.0
1613834448.417485,0,long_path,8285,8620,8661,0.0,0.0,0.0
1613834448.5068421,16,short_path,39671,162648,162596,0.0,0.0,0.0
1613834448.507478,0,long_path,8278,8602,8558,0.0,0.0,0.0
1613834448.596957,16,short_path,39668,162663,162630,0.0,0.0,0.0
1613834448.5976,0,long_path,8330,8642,8673,0.0,0.0,0.0
1613834448.6868548,16,short_path,39637,162458,162372,0.0,0.0,0.0
1613834448.687454,0,long_path,8328,8588,8576,0.0,0.0,0.0
1613834448.776872,16,short_path,39633,162284,162231,0.0,0.0,0.0
1613834448.777368,0,long_path,8278,8624,8592,0.0,0.0,0.0
1613834448.867009,16,short_path,39624,162253,162217,0.0,0.0,0.0
1613834448.8677068,0,long_path,8309,8593,8630,0.0,0.0,0.0
1613834448.956887,16,short_path,39542,162192,162163,0.0,0.0,0.0
1613834448.9574459,0,long_path,8275,8623,8603,0.0,0.0,0.0
1613834449.0464141,16,short_path,39601,162197,162173,0.0,0.0,0.0
1613834449.046852,0,long_path,8286,8623,8612,0.0,0.0,0.0
1613834449.13677,16,short_path,39573,161548,162114,0.0,0.0,0.0
1613834449.1520529,0,long_path,8630,8216,8589,0.0,0.0,0.0
1613834449.2267368,16,short_path,39599,162190,162233,0.0,0.0,0.0
1613834449.2272692,0,long_path,8275,8596,8625,0.0,0.0,0.0
1613834449.3170428,16,short_path,39570,162204,161804,0.0,0.0,0.0
1613834449.3176,0,long_path,8299,8594,8450,0.0,0.0,0.0
1613834449.407041,16,short_path,39584,162136,162114,0.0,0.0,0.0
1613834449.407625,0,long_path,8297,8612,8630,0.0,0.0,0.0
1613834449.496279,16,short_path,39556,161954,161908,0.0,0.0,0.0
1613834449.4967082,0,long_path,8297,8606,8589,0.0,0.0,0.0
1613834449.586835,16,short_path,39600,161822,161787,0.0,0.0,0.0
1613834449.5874078,0,long_path,8262,8601,8594,0.0,0.0,0.0
1613834449.691853,16,short_path,39549,161782,161761,0.0,0.0,0.0
1613834449.69244,0,long_path,8278,8596,8653,0.0,0.0,0.0
1613834449.767376,16,short_path,39447,161858,161799,0.0,0.0,0.0
1613834449.76801,0,long_path,8277,8590,8571,0.0,0.0,0.0
1613834449.856946,16,short_path,39511,161794,161745,0.0,0.0,0.0
1613834449.857547,0,long_path,8300,8589,8602,0.0,0.0,0.0
1613834449.9468029,16,short_path,39430,161874,161825,0.0,0.0,0.0
1613834449.9473941,0,long_path,8155,8563,8553,0.0,0.0,0.0
1613834450.036404,16,short_path,39557,161963,161933,0.0,0.0,0.0
1613834450.036781,0,long_path,8322,31153,8628,0.0,0.0,0.0
1613834450.126415,16,short_path,39559,161999,161957,0.0,0.0,0.0
1613834450.12693,0,long_path,8250,8485,8607,0.0,0.0,0.0
1613834450.216444,16,short_path,39526,161803,161749,0.0,0.0,0.0
1613834450.216833,0,long_path,8337,8586,8666,0.0,0.0,0.0
1613834450.306902,16,short_path,39530,161772,161724,0.0,0.0,0.0
1613834450.307269,0,long_path,8322,8621,8622,0.0,0.0,0.0
1613834450.396462,16,short_path,39518,161808,161772,0.0,0.0,0.0
1613834450.39686,0,long_path,8277,8612,8601,0.0,0.0,0.0
1613834450.486433,16,short_path,39512,161748,161751,0.0,0.0,0.0
1613834450.486826,0,long_path,8271,8618,8620,0.0,0.0,0.0
1613834450.5770109,16,short_path,39529,161981,161922,0.0,0.0,0.0
1613834450.579146,0,long_path,8287,8600,8630,527573342365.635,703506340936.2172,525104870602.04144
1613834450.666626,16,short_path,39602,162101,162054,527573342365.635,703506340936.2172,525104870602.04144
1613834450.6672351,0,long_path,8292,8590,8625,527573342365.635,703506340936.2172,525104870602.04144
1613834450.7571578,16,short_path,39818,162523,162458,527573342365.635,703506340936.2172,525104870602.04144
1613834450.7577658,0,long_path,8270,8579,8584,527573342365.635,703506340936.2172,525104870602.04144
1613834450.8471072,16,short_path,39771,163056,163000,527573342365.635,703506340936.2172,525104870602.04144
1613834450.847769,0,long_path,8241,8569,8599,527573342365.635,703506340936.2172,525104870602.04144
1613834450.937034,16,short_path,39787,163021,162997,527573342365.635,703506340936.2172,525104870602.04144
1613834450.937645,0,long_path,8572,8568,8601,527573342365.635,703506340936.2172,525104870602.04144
1613834451.02669,16,short_path,39830,163175,163124,527573342365.635,703506340936.2172,525104870602.04144
1613834451.027495,0,long_path,8230,32480,8556,527573342365.635,703506340936.2172,525104870602.04144
1613834451.1168718,16,short_path,39825,163260,163203,527573342365.635,703506340936.2172,525104870602.04144
1613834451.11758,0,long_path,8297,8584,8627,527573342365.635,703506340936.2172,525104870602.04144
1613834451.207093,16,short_path,39801,163177,163248,527573342365.635,703506340936.2172,525104870602.04144
1613834451.207603,0,long_path,8291,8589,8595,527573342365.635,703506340936.2172,525104870602.04144
1613834451.297018,16,short_path,39808,163178,163128,527573342365.635,703506340936.2172,525104870602.04144
1613834451.297606,0,long_path,8294,8584,8595,527573342365.635,703506340936.2172,525104870602.04144
1613834451.38649,16,short_path,39833,163295,163287,527573342365.635,703506340936.2172,525104870602.04144
1613834451.387021,0,long_path,8293,8598,8541,527573342365.635,703506340936.2172,525104870602.04144
1613834451.5069299,16,short_path,39869,163436,163378,527573342365.635,703506340936.2172,525104870602.04144
1613834451.507543,0,long_path,8293,8596,8570,527573342365.635,703506340936.2172,525104870602.04144
1613834451.5667148,16,short_path,39719,163403,163355,527573342365.635,703506340936.2172,525104870602.04144
1613834451.5672681,0,long_path,8297,8562,8533,527573342365.635,703506340936.2172,525104870602.04144
1613834451.6568708,16,short_path,39843,163309,163259,527573342365.635,703506340936.2172,525104870602.04144
1613834451.6574678,0,long_path,8263,8584,8604,527573342365.635,703506340936.2172,525104870602.04144
1613834451.7465322,16,short_path,39710,163416,163378,527573342365.635,703506340936.2172,525104870602.04144
1613834451.747156,0,long_path,8258,8563,8583,527573342365.635,703506340936.2172,525104870602.04144
1613834451.8366542,16,short_path,39867,163551,163502,527573342365.635,703506340936.2172,525104870602.04144
1613834451.837263,0,long_path,8284,8596,8589,527573342365.635,703506340936.2172,525104870602.04144
1613834451.926529,16,short_path,39883,163422,163639,527573342365.635,703506340936.2172,525104870602.04144
1613834451.927156,0,long_path,8577,8481,8564,527573342365.635,703506340936.2172,525104870602.04144
1613834452.0170848,16,short_path,39868,163663,163674,527573342365.635,703506340936.2172,525104870602.04144
1613834452.023177,0,long_path,8302,8594,8616,527573342365.635,703506340936.2172,525104870602.04144
1613834452.1214058,16,short_path,39874,163718,163672,527573342365.635,703506340936.2172,525104870602.04144
1613834452.121928,0,long_path,8278,8589,8648,527573342365.635,703506340936.2172,525104870602.04144
1613834452.196918,16,short_path,39891,163861,163846,527573342365.635,703506340936.2172,525104870602.04144
1613834452.226864,0,long_path,8287,8577,8626,527573342365.635,703506340936.2172,525104870602.04144
1613834452.286887,16,short_path,39910,163957,163870,527573342365.635,703506340936.2172,525104870602.04144
1613834452.287439,0,long_path,8295,8616,8593,527573342365.635,703506340936.2172,525104870602.04144
1613834452.376878,16,short_path,39915,163813,163740,527573342365.635,703506340936.2172,525104870602.04144
1613834452.3774788,0,long_path,8243,8641,8575,527573342365.635,703506340936.2172,525104870602.04144
1613834452.467028,16,short_path,39920,163877,163838,527573342365.635,703506340936.2172,525104870602.04144
1613834452.467575,0,long_path,8289,8597,8573,527573342365.635,703506340936.2172,525104870602.04144
1613834452.556601,16,short_path,39998,163924,163932,527573342365.635,703506340936.2172,525104870602.04144
1613834452.557214,0,long_path,8287,8670,8653,527573342365.635,703506340936.2172,525104870602.04144
1613834452.647016,16,short_path,39947,163992,163924,527573342365.635,703506340936.2172,525104870602.04144
1613834452.647567,0,long_path,8264,8649,8615,527573342365.635,703506340936.2172,525104870602.04144
1613834452.736664,16,short_path,40010,164222,164165,527573342365.635,703506340936.2172,525104870602.04144
1613834452.737217,0,long_path,7817,8605,8611,527573342365.635,703506340936.2172,525104870602.04144
1613834452.826823,16,short_path,40008,164390,164338,527573342365.635,703506340936.2172,525104870602.04144
1613834452.827436,0,long_path,8293,33324,8603,527573342365.635,703506340936.2172,525104870602.04144
1613834452.917033,16,short_path,39999,164419,164377,527573342365.635,703506340936.2172,525104870602.04144
1613834452.917601,0,long_path,8647,8595,8612,527573342365.635,703506340936.2172,525104870602.04144
1613834453.006777,16,short_path,39992,164312,164233,527573342365.635,703506340936.2172,525104870602.04144
1613834453.0074,0,long_path,8311,8635,8436,527573342365.635,703506340936.2172,525104870602.04144
1613834453.0969422,16,short_path,40016,164395,164357,527573342365.635,703506340936.2172,525104870602.04144
1613834453.097735,0,long_path,8272,8629,8604,527573342365.635,703506340936.2172,525104870602.04144
1613834453.187211,16,short_path,40032,164457,164431,527573342365.635,703506340936.2172,525104870602.04144
1613834453.18783,0,long_path,8317,8642,8634,527573342365.635,703506340936.2172,525104870602.04144
1613834453.291611,16,short_path,40036,164464,164397,527573342365.635,703506340936.2172,525104870602.04144
1613834453.2922711,0,long_path,8289,8638,8599,527573342365.635,703506340936.2172,525104870602.04144
1613834453.367004,16,short_path,40095,164520,164476,527573342365.635,703506340936.2172,525104870602.04144
1613834453.367618,0,long_path,8283,8604,8594,527573342365.635,703506340936.2172,525104870602.04144
1613834453.4570858,16,short_path,40029,164507,164486,527573342365.635,703506340936.2172,525104870602.04144
1613834453.4577222,0,long_path,8271,8617,8608,527573342365.635,703506340936.2172,525104870602.04144
1613834453.546866,16,short_path,39967,164431,164388,527573342365.635,703506340936.2172,525104870602.04144
1613834453.547458,0,long_path,8293,8674,8669,527573342365.635,703506340936.2172,525104870602.04144
1613834453.6368608,16,short_path,39913,164228,164161,527573342365.635,703506340936.2172,525104870602.04144
1613834453.637419,0,long_path,8248,8605,8603,527573342365.635,703506340936.2172,525104870602.04144
1613834453.72652,16,short_path,39878,163948,163918,527573342365.635,703506340936.2172,525104870602.04144
1613834453.7270029,0,long_path,8645,8607,8621,527573342365.635,703506340936.2172,525104870602.04144
1613834453.816999,16,short_path,39902,164013,163960,527573342365.635,703506340936.2172,525104870602.04144
1613834453.8175418,0,long_path,8292,32720,8560,527573342365.635,703506340936.2172,525104870602.04144
1613834453.906948,16,short_path,39902,164022,163986,527573342365.635,703506340936.2172,525104870602.04144
1613834453.907563,0,long_path,8280,8563,8579,527573342365.635,703506340936.2172,525104870602.04144
1613834453.99679,16,short_path,39893,164006,164004,527573342365.635,703506340936.2172,525104870602.04144
1613834453.997372,0,long_path,8283,8658,8528,527573342365.635,703506340936.2172,525104870602.04144
1613834454.086498,16,short_path,39893,164070,164063,527573342365.635,703506340936.2172,525104870602.04144
1613834454.0868979,0,long_path,8259,8598,8647,527573342365.635,703506340936.2172,525104870602.04144
1613834454.176648,16,short_path,39931,164190,164142,527573342365.635,703506340936.2172,525104870602.04144
1613834454.177218,0,long_path,8303,8602,8571,527573342365.635,703506340936.2172,525104870602.04144
1613834454.2666318,16,short_path,39921,164309,164259,527573342365.635,703506340936.2172,525104870602.04144
1613834454.2672582,0,long_path,8282,8624,8590,527573342365.635,703506340936.2172,525104870602.04144
1613834454.357093,16,short_path,40124,164181,164130,527573342365.635,703506340936.2172,525104870602.04144
1613834454.371592,0,long_path,8250,8644,8543,527573342365.635,703506340936.2172,525104870602.04144
1613834454.44654,16,short_path,39963,164242,164204,527573342365.635,703506340936.2172,525104870602.04144
1613834454.447177,0,long_path,8327,8596,8617,527573342365.635,703506340936.2172,525104870602.04144
1613834454.5369081,16,short_path,39944,164412,164335,527573342365.635,703506340936.2172,525104870602.04144
1613834454.5375412,0,long_path,8314,8664,8575,527573342365.635,703506340936.2172,525104870602.04144
1613834454.627014,16,short_path,40010,164525,164456,527573342365.635,703506340936.2172,525104870602.04144
1613834454.627692,0,long_path,8275,8674,8602,527573342365.635,703506340936.2172,525104870602.04144
1613834454.7168021,16,short_path,39995,164642,164486,527573342365.635,703506340936.2172,525104870602.04144
1613834454.717422,0,long_path,8620,8705,8632,527573342365.635,703506340936.2172,525104870602.04144
1613834454.806602,16,short_path,40011,164636,164545,527573342365.635,703506340936.2172,525104870602.04144
1613834454.807206,0,long_path,8332,8609,8625,527573342365.635,703506340936.2172,525104870602.04144
1613834454.896704,16,short_path,40070,164838,165159,527573342365.635,703506340936.2172,525104870602.04144
1613834454.897287,0,long_path,8323,8640,8923,527573342365.635,703506340936.2172,525104870602.04144
1613834454.986769,16,short_path,40070,164945,164913,527573342365.635,703506340936.2172,525104870602.04144
1613834454.9873412,0,long_path,8309,8640,8592,527573342365.635,703506340936.2172,525104870602.04144
1613834455.091269,16,short_path,40079,164805,164803,527573342365.635,703506340936.2172,525104870602.04144
1613834455.091892,0,long_path,8289,8596,8624,527573342365.635,703506340936.2172,525104870602.04144
1613834455.1668422,16,short_path,40064,164836,164810,527573342365.635,703506340936.2172,525104870602.04144
1613834455.1674392,0,long_path,8296,8615,8640,527573342365.635,703506340936.2172,525104870602.04144
