timestamp,idx,path,c1,c2,c3
1613789497.2723808,16,short_path,37228,138084,138080
1613789497.27893,0,long_path,8263,8569,8567
1613789497.376781,16,short_path,37229,138072,138016
1613789497.379035,0,long_path,8267,8553,8537
1613789497.4519181,16,short_path,37224,138070,138009
1613789497.4532428,0,long_path,8297,8570,8546
1613789497.5420532,16,short_path,37233,138055,138013
1613789497.543828,0,long_path,8248,8560,8565
1613789497.663098,16,short_path,37233,138059,138018
1613789497.664736,0,long_path,8286,8555,8537
1613789497.722411,16,short_path,37227,138095,138080
1613789497.723666,0,long_path,8315,8541,8510
1613789497.8117812,16,short_path,37230,137575,138077
1613789497.813448,0,long_path,8278,8026,8547
1613789497.902426,16,short_path,37250,138176,138156
1613789497.904187,0,long_path,8275,8573,8558
1613789497.992216,16,short_path,37338,138195,138163
1613789497.994366,0,long_path,8264,8539,8559
1613789498.081985,16,short_path,37248,138118,138083
1613789498.084115,0,long_path,8298,8538,8544
1613789498.173206,16,short_path,37258,138102,138060
1613789498.174648,0,long_path,8545,8548,8582
1613789498.291853,16,short_path,37241,138102,138071
1613789498.293516,0,long_path,8266,8562,8516
1613789498.351935,16,short_path,37238,138074,138063
1613789498.353487,0,long_path,8283,8526,8507
1613789498.4422872,16,short_path,37242,138107,138078
1613789498.4442382,0,long_path,8280,8587,8609
1613789498.532078,16,short_path,37243,138120,138091
1613789498.533519,0,long_path,8245,8542,8581
1613789498.62175,16,short_path,37177,138153,138107
1613789498.623116,0,long_path,7871,8471,8518
1613789498.712103,16,short_path,37260,138200,138158
1613789498.713912,0,long_path,8294,8512,8567
1613789498.8019578,16,short_path,37272,138220,138153
1613789498.803766,0,long_path,8275,8527,8579
1613789498.892073,16,short_path,37245,138116,137554
1613789498.893166,0,long_path,8342,8563,8261
1613789498.982188,16,short_path,37193,138088,138076
1613789498.983687,0,long_path,8272,8556,8559
1613789499.071885,16,short_path,37245,138077,138072
1613789499.073262,0,long_path,8272,8537,8585
1613789499.162038,16,short_path,37251,138089,138060
1613789499.163782,0,long_path,8529,8574,8512
1613789499.251932,16,short_path,37251,138111,138065
1613789499.253251,0,long_path,8330,8560,8501
1613789499.341953,16,short_path,37250,138124,138093
1613789499.343128,0,long_path,8289,8483,8543
1613789499.432129,16,short_path,37249,138129,138117
1613789499.433866,0,long_path,8292,8521,8568
1613789499.5217972,16,short_path,37240,138178,138141
1613789499.5230532,0,long_path,8281,8575,8519
1613789499.611917,16,short_path,37177,138173,138148
1613789499.613568,0,long_path,8307,8550,8527
1613789499.705288,16,short_path,37253,137865,138102
1613789499.7072399,0,long_path,8316,8551,8513
1613789499.7920809,16,short_path,37226,138136,138117
1613789499.793656,0,long_path,8290,8574,8577
1613789499.8973289,16,short_path,37244,138110,137818
1613789499.899352,0,long_path,8282,8557,8371
1613789499.97212,16,short_path,37244,138125,138069
1613789499.973834,0,long_path,8535,8544,8573
1613789500.076958,16,short_path,37266,138145,138100
1613789500.078302,0,long_path,8315,8512,8555
1613789500.152023,16,short_path,37263,138155,138146
1613789500.153892,0,long_path,8301,8537,8543
1613789500.2419672,16,short_path,37248,138165,138105
1613789500.243052,0,long_path,8299,8509,8502
1613789500.332142,16,short_path,37263,138216,138215
1613789500.33384,0,long_path,8279,8529,8563
1613789500.421937,16,short_path,37265,138274,138247
1613789500.423446,0,long_path,8277,8530,8545
1613789500.5119748,16,short_path,37257,138188,138155
1613789500.513518,0,long_path,8092,8518,8540
1613789500.602023,16,short_path,37219,138251,138169
1613789500.6034932,0,long_path,8242,8580,8516
1613789500.6917472,16,short_path,37255,137821,138142
1613789500.692905,0,long_path,8315,8534,8566
1613789500.781858,16,short_path,37269,138200,137956
1613789500.7829912,0,long_path,8270,8538,8449
1613789500.871796,16,short_path,37260,138203,138173
1613789500.873616,0,long_path,8271,8514,8521
1613789500.962018,16,short_path,37264,138248,138202
1613789500.963789,0,long_path,8531,8519,8525
1613789501.0518029,16,short_path,37265,138302,138243
1613789501.0530272,0,long_path,8296,8534,8520
1613789501.142518,16,short_path,37263,138297,138265
1613789501.1567922,0,long_path,8274,8532,8578
1613789501.231939,16,short_path,37271,138319,138300
1613789501.2333682,0,long_path,8248,8503,8544
1613789501.3217769,16,short_path,37286,138298,138248
1613789501.322927,0,long_path,8288,8583,8520
1613789501.411772,16,short_path,37283,138261,138234
1613789501.413034,0,long_path,8299,8529,8543
1613789501.501835,16,short_path,37271,138262,138212
1613789501.502954,0,long_path,8046,8524,8562
1613789501.591888,16,short_path,37340,138155,138223
1613789501.59291,0,long_path,8295,8483,8572
1613789501.6817548,16,short_path,37275,138265,138474
1613789501.682852,0,long_path,8287,8533,8669
1613789501.786796,16,short_path,37154,138305,138116
1613789501.7878652,0,long_path,8262,8567,8483
1613789501.876738,16,short_path,37274,138354,138311
1613789501.878143,0,long_path,8254,8529,8590
1613789501.951811,16,short_path,37286,138388,138363
1613789501.952922,0,long_path,8497,8552,8543
1613789502.041693,16,short_path,37277,138371,138334
1613789502.0427551,0,long_path,8253,8514,8535
1613789502.132621,16,short_path,37298,138365,138299
1613789502.134845,0,long_path,8306,8523,8528
1613789502.2217422,16,short_path,37294,138325,138278
1613789502.22284,0,long_path,8320,8565,8573
1613789502.31184,16,short_path,37289,138284,138274
1613789502.312934,0,long_path,8336,8553,8537
1613789502.401835,16,short_path,37225,138290,138224
1613789502.40282,0,long_path,8193,8512,8521
1613789502.492241,16,short_path,37265,138687,138261
1613789502.493885,0,long_path,8294,8541,8518
1613789502.592385,16,short_path,37158,138012,138298
1613789502.597108,0,long_path,8329,8430,8560
1613789502.671846,16,short_path,37297,138333,138261
1613789502.672981,0,long_path,8248,8566,8558
1613789502.761847,16,short_path,37254,138385,138348
1613789502.762839,0,long_path,8312,8566,8563
1613789502.866833,16,short_path,37281,138341,138296
1613789502.867837,0,long_path,8298,7298,8501
1613789502.941809,16,short_path,37267,138282,138274
1613789502.9429991,0,long_path,8232,8549,8536
1613789503.0328362,16,short_path,37263,138277,138337
1613789503.034316,0,long_path,8291,8560,8535
1613789503.122308,16,short_path,37292,138368,138350
1613789503.123948,0,long_path,8257,8537,8576
1613789503.212318,16,short_path,37279,138294,138255
1613789503.214251,0,long_path,8274,8564,8515
1613789503.302068,16,short_path,37592,138295,138264
1613789503.303735,0,long_path,8288,8583,8523
1613789503.39295,16,short_path,37206,138283,138271
1613789503.395812,0,long_path,8135,8572,8549
1613789503.4818282,16,short_path,37307,138355,138380
1613789503.483445,0,long_path,8266,8535,8494
1613789503.5718641,16,short_path,37320,138486,138654
1613789503.573191,0,long_path,8270,8516,8651
1613789503.677074,16,short_path,37315,138388,138230
1613789503.678684,0,long_path,8306,8577,8443
1613789503.751955,16,short_path,37306,138384,138304
1613789503.753013,0,long_path,8563,8565,8542
1613789503.841671,16,short_path,37297,138337,138292
1613789503.842813,0,long_path,8254,7267,8558
1613789503.932246,16,short_path,37286,138324,138258
1613789503.933795,0,long_path,8297,8568,8570
1613789504.0218089,16,short_path,37289,138336,138313
1613789504.022893,0,long_path,8262,8549,8544
1613789504.112152,16,short_path,37283,138322,138309
1613789504.113099,0,long_path,8293,8549,8553
1613789504.202163,16,short_path,37289,138361,138329
1613789504.217014,0,long_path,8309,8528,8532
1613789504.29214,16,short_path,37174,138386,138355
1613789504.2929978,0,long_path,8235,8559,8547
1613789504.381799,16,short_path,37240,138521,138357
1613789504.382657,0,long_path,8287,8651,8542
1613789504.471829,16,short_path,37322,138305,138398
1613789504.4730618,0,long_path,8285,8552,8535
1613789504.5624,16,short_path,37242,138397,138334
1613789504.5633779,0,long_path,8326,8565,8570
1613789504.651972,16,short_path,37284,138315,138274
1613789504.653064,0,long_path,8251,8557,8545
1613789504.741837,16,short_path,37278,138263,138225
1613789504.74279,0,long_path,8592,8549,8540
1613789504.831688,16,short_path,37272,138265,138261
1613789504.8327,0,long_path,8290,8548,8550
1613789504.921985,16,short_path,37295,138268,138241
1613789504.923124,0,long_path,8282,8514,8499
1613789505.01216,16,short_path,37292,138321,138284
1613789505.0133371,0,long_path,8292,8545,8544
1613789505.101603,16,short_path,37267,138307,138238
1613789505.102407,0,long_path,8288,8550,8551
1613789505.192141,16,short_path,37488,138220,138155
1613789505.1933591,0,long_path,8405,8620,8575
1613789505.2821708,16,short_path,37258,138192,138110
1613789505.2833989,0,long_path,8189,8548,8483
1613789505.372193,16,short_path,37251,138160,138116
1613789505.37346,0,long_path,8264,8483,8480
1613789505.4773178,16,short_path,37258,138134,138219
1613789505.4784472,0,long_path,8305,8535,8598
1613789505.552146,16,short_path,37291,138162,138061
1613789505.553252,0,long_path,8277,8542,8510
1613789505.642269,16,short_path,37273,138203,138141
1613789505.643561,0,long_path,8295,8577,8507
1613789505.746837,16,short_path,37278,138235,138226
1613789505.747954,0,long_path,8541,8548,8556
1613789505.821687,16,short_path,37287,138387,138372
1613789505.8226361,0,long_path,8293,8570,8560
1613789505.912063,16,short_path,37298,138269,138244
1613789505.913195,0,long_path,8300,8573,8574
1613789506.002184,16,short_path,37279,138222,138187
1613789506.003294,0,long_path,8254,8488,8551
1613789506.09181,16,short_path,37285,138250,138187
1613789506.092858,0,long_path,8308,8535,8558
1613789506.182187,16,short_path,37243,138233,138183
1613789506.183247,0,long_path,8425,8542,8523
1613789506.272213,16,short_path,37279,138376,138238
1613789506.273391,0,long_path,8277,8544,8554
1613789506.361921,16,short_path,37180,138278,138280
1613789506.362779,0,long_path,8312,8512,8533
1613789506.451796,16,short_path,37320,138339,138771
1613789506.452769,0,long_path,8279,8562,8918
1613789506.5421498,16,short_path,37231,138425,138374
1613789506.543363,0,long_path,8288,8597,8565
1613789506.632212,16,short_path,37332,138372,138356
1613789506.6333508,0,long_path,8295,7305,8523
1613789506.7221172,16,short_path,37324,138334,138329
1613789506.723244,0,long_path,8255,8561,8535
1613789506.812305,16,short_path,37325,138365,138278
1613789506.813514,0,long_path,8295,8549,8481
1613789506.902314,16,short_path,37318,138352,138327
1613789506.903546,0,long_path,8288,8570,8539
1613789506.9923258,16,short_path,37332,138388,138359
1613789507.022193,0,long_path,8262,8592,8574
1613789507.081749,16,short_path,37340,138424,138367
1613789507.097138,0,long_path,8279,8568,8546
1613789507.171744,16,short_path,37265,138465,138427
1613789507.1727371,0,long_path,8227,8582,8535
1613789507.277071,16,short_path,37346,138526,138482
1613789507.278154,0,long_path,8260,8541,8566
1613789507.35176,16,short_path,37352,138489,138551
1613789507.353054,0,long_path,8251,8565,8587
1613789507.441605,16,short_path,37359,138448,138344
1613789507.442571,0,long_path,8275,8539,8536
1613789507.5320692,16,short_path,37352,138468,138419
1613789507.5338,0,long_path,8560,8540,8551
1613789507.621877,16,short_path,37353,138416,138367
1613789507.622912,0,long_path,8290,7343,8559
1613789507.711735,16,short_path,37351,138398,138374
1613789507.7125518,0,long_path,8297,8556,8568
1613789507.801889,16,short_path,37330,138381,138340
1613789507.802764,0,long_path,8267,8557,8518
1613789507.892064,16,short_path,37349,138384,138383
1613789507.893389,0,long_path,8277,8567,8554
1613789507.981657,16,short_path,37367,138508,138486
1613789507.9825122,0,long_path,8297,8598,8564
1613789508.071661,16,short_path,37409,138528,138470
1613789508.086781,0,long_path,8623,8552,8538
1613789508.161814,16,short_path,37203,138574,138473
1613789508.1627688,0,long_path,8309,8598,8598
1613789508.251585,16,short_path,37386,138467,138491
1613789508.2528589,0,long_path,8276,8578,8556
1613789508.351251,16,short_path,37397,138560,138955
1613789508.352285,0,long_path,8302,8550,8861
1613789508.431649,16,short_path,37382,138561,138549
1613789508.432822,0,long_path,8269,8509,8623
