timestamp,idx,path,c1,c2,c3,p1,p2,p3
1613832176.0534348,16,short_path,38956,157100,157070,0.0,0.0,0.0
1613832176.05969,0,long_path,8305,8557,8547,0.0,0.0,0.0
1613832176.1432252,16,short_path,39074,157460,157437,0.0,0.0,0.0
1613832176.146059,0,long_path,8218,8548,8528,0.0,0.0,0.0
1613832176.262351,16,short_path,39106,157532,157488,0.0,0.0,0.0
1613832176.264076,0,long_path,8290,8523,8571,0.0,0.0,0.0
1613832176.322413,16,short_path,39148,157674,157642,0.0,0.0,0.0
1613832176.325053,0,long_path,8272,8539,8575,0.0,0.0,0.0
1613832176.412423,16,short_path,38735,157406,157368,0.0,0.0,0.0
1613832176.4138591,0,long_path,8080,8528,8591,0.0,0.0,0.0
1613832176.502369,16,short_path,39156,157236,157165,0.0,0.0,0.0
1613832176.504509,0,long_path,8275,8563,8553,0.0,0.0,0.0
1613832176.5923588,16,short_path,39072,157723,157462,0.0,0.0,0.0
1613832176.594999,0,long_path,8262,26393,8567,0.0,0.0,0.0
1613832176.682912,16,short_path,39083,157643,157581,0.0,0.0,0.0
1613832176.685599,0,long_path,8541,8578,8576,0.0,0.0,0.0
1613832176.7721741,16,short_path,39140,157729,157583,0.0,0.0,0.0
1613832176.776072,0,long_path,8272,8552,8594,0.0,0.0,0.0
1613832176.86216,16,short_path,39120,157691,157668,0.0,0.0,0.0
1613832176.863899,0,long_path,8274,8562,8566,0.0,0.0,0.0
1613832176.952118,16,short_path,39100,157599,157545,0.0,0.0,0.0
1613832176.9546921,0,long_path,8278,8613,8554,0.0,0.0,0.0
1613832177.043065,16,short_path,39116,157668,157605,0.0,0.0,0.0
1613832177.04586,0,long_path,8246,8582,8558,0.0,0.0,0.0
1613832177.131784,16,short_path,38993,157732,157715,0.0,0.0,0.0
1613832177.133278,0,long_path,8262,8532,8567,0.0,0.0,0.0
1613832177.2222981,16,short_path,39136,157675,157639,0.0,0.0,0.0
1613832177.2241821,0,long_path,8315,8567,8517,0.0,0.0,0.0
1613832177.31246,16,short_path,39004,157543,157490,0.0,0.0,0.0
1613832177.3137338,0,long_path,8269,8546,8548,0.0,0.0,0.0
1613832177.402122,16,short_path,39030,157434,157389,0.0,0.0,0.0
1613832177.403747,0,long_path,8292,8510,8530,0.0,0.0,0.0
1613832177.492076,16,short_path,38997,157300,157250,0.0,0.0,0.0
1613832177.4940171,0,long_path,8619,8570,8528,0.0,0.0,0.0
1613832177.5822499,16,short_path,38923,157021,156975,0.0,0.0,0.0
1613832177.584092,0,long_path,8252,25988,8522,0.0,0.0,0.0
1613832177.6722822,16,short_path,38935,157024,156991,0.0,0.0,0.0
1613832177.674165,0,long_path,8269,8558,8544,0.0,0.0,0.0
1613832177.762733,16,short_path,38981,157097,157090,0.0,0.0,0.0
1613832177.764565,0,long_path,8304,8556,8556,0.0,0.0,0.0
1613832177.8530052,16,short_path,38977,157225,157173,0.0,0.0,0.0
1613832177.854666,0,long_path,8266,8535,8493,0.0,0.0,0.0
1613832177.942046,16,short_path,39067,157522,157467,0.0,0.0,0.0
1613832177.9438488,0,long_path,8302,8568,8545,0.0,0.0,0.0
1613832178.062658,16,short_path,39108,157591,157555,0.0,0.0,0.0
1613832178.064497,0,long_path,8258,8551,8577,0.0,0.0,0.0
1613832178.1225998,16,short_path,38994,157498,157454,0.0,0.0,0.0
1613832178.124127,0,long_path,8231,8524,8542,0.0,0.0,0.0
1613832178.212477,16,short_path,39004,157195,157171,0.0,0.0,0.0
1613832178.2142432,0,long_path,8242,8589,8529,0.0,0.0,0.0
1613832178.301863,16,short_path,39020,157074,157056,0.0,0.0,0.0
1613832178.317525,0,long_path,8339,8596,8576,0.0,0.0,0.0
1613832178.391801,16,short_path,38989,157080,157060,0.0,0.0,0.0
