timestamp,idx,path,c1,c2,c3,p1,p2,p3
1613834874.959771,16,short_path,39611,156556,156518,0.0,0.0,0.0
1613834874.961621,0,long_path,8295,8496,8438,539093751162.5193,724540586444.0929,539093751162.5192
1613834875.0518558,16,short_path,39570,156370,156335,539093751162.5193,724540586444.0929,539093751162.5192
1613834875.0532951,0,long_path,8234,8497,8474,1904700889492.404,1480973598440.0032,249143625106.79175
1613834875.139806,16,short_path,39560,156210,156175,1904700889492.404,1480973598440.0032,249143625106.79175
1613834875.1415,0,long_path,8246,8469,8485,3521792559705.604,1081471811056.882,214274588328.32474
1613834875.22961,16,short_path,39531,156102,156057,3521792559705.604,1081471811056.882,214274588328.32474
1613834875.230935,0,long_path,8238,8456,8476,4858568440499.429,618968153988.0116,457202899135.5719
1613834875.319626,16,short_path,39768,156029,156004,4858568440499.429,618968153988.0116,457202899135.5719
1613834875.3209972,0,long_path,8218,8459,8493,5674855673836.839,742286852339.1956,180407361216.98752
1613834875.409485,16,short_path,39421,156008,155950,5674855673836.839,742286852339.1956,180407361216.98752
1613834875.410814,0,long_path,8193,8495,8480,6009207839427.827,909490973509.9292,385584318506.9236
1613834875.5000682,16,short_path,39615,155975,155926,6009207839427.827,909490973509.9292,385584318506.9236
1613834875.502065,0,long_path,8295,8487,8466,6018361014908.568,864914457508.8625,264866778630.37054
1613834875.58981,16,short_path,39525,155978,155934,6018361014908.568,864914457508.8625,264866778630.37054
1613834875.5915039,0,long_path,8276,24915,8461,5848764742996.605,796956565595.0576,324122663786.82666
1613834875.680058,16,short_path,39508,155953,155916,5848764742996.605,796956565595.0576,324122663786.82666
1613834875.682009,0,long_path,8525,8438,8466,5607831799970.678,835766111319.5812,310670680152.3126
1613834875.769993,16,short_path,39472,155690,155650,5607831799970.678,835766111319.5812,310670680152.3126
1613834875.78525,0,long_path,8298,8440,8440,5377556260914.154,894096567871.9386,286345023731.5713
1613834875.859664,16,short_path,39451,155595,155529,5377556260914.154,894096567871.9386,286345023731.5713
1613834875.860991,0,long_path,8265,8497,8475,5214315057093.363,870930999516.9506,330915290324.73785
1613834875.9496472,16,short_path,39403,155275,155215,5214315057093.363,870930999516.9506,330915290324.73785
1613834875.951138,0,long_path,8231,8479,8466,5139807570370.7,830294015539.443,284319745048.8864
1613834876.039489,16,short_path,39435,155253,155152,5139807570370.7,830294015539.443,284319745048.8864
1613834876.040996,0,long_path,8268,8476,8473,5144367300847.189,840617545723.5951,319162897032.7595
1613834876.1299279,16,short_path,39433,155253,155238,5144367300847.189,840617545723.5951,319162897032.7595
1613834876.1449878,0,long_path,8280,8529,8476,5204269860338.364,865625331285.6233,299476467571.3524
1613834876.219512,16,short_path,39443,155311,155276,5204269860338.364,865625331285.6233,299476467571.3524
1613834876.2208629,0,long_path,8293,8466,8494,5291780840330.38,856340225203.2683,304492939315.7198
1613834876.3109481,16,short_path,40376,155386,155323,5291780840330.38,856340225203.2683,304492939315.7198
1613834876.3138711,0,long_path,8326,8504,8461,5379631091338.017,834551011163.2977,313519517897.3167
1613834876.41477,16,short_path,39166,155440,155409,5379631091338.017,834551011163.2977,313519517897.3167
1613834876.416922,0,long_path,8250,8480,8473,5444465019269.757,840798544396.4104,295524927007.1275
1613834876.4900732,16,short_path,39190,155578,155543,5444465019269.757,840798544396.4104,295524927007.1275
1613834876.4919648,0,long_path,8456,8480,8480,5473909632158.276,857750766778.1346,315651274488.1285
1613834876.5801642,16,short_path,39212,155628,155580,5473909632158.276,857750766778.1346,315651274488.1285
1613834876.582131,0,long_path,8231,24562,8439,5468590056132.314,854895691857.4564,299756341778.81647
1613834876.6700852,16,short_path,39215,155735,155708,5468590056132.314,854895691857.4564,299756341778.81647
1613834876.672097,0,long_path,8237,8463,8461,5437655019052.792,843305515508.7391,309497419653.4282
1613834876.759849,16,short_path,39177,155529,155463,5437655019052.792,843305515508.7391,309497419653.4282
1613834876.761821,0,long_path,8247,8529,8464,5393192693359.472,845785880572.5692,306327838944.55347
1613834876.850373,16,short_path,39155,155399,155360,5393192693359.472,845785880572.5692,306327838944.55347
1613834876.85226,0,long_path,8268,8486,8452,5347605696464.933,855475427540.4442,301805931374.2448
1613834876.93983,16,short_path,39154,155356,155312,5347605696464.933,855475427540.4442,301805931374.2448
1613834876.941874,0,long_path,8263,8466,8484,5312750729535.294,853287056266.6401,311315812255.7964
1613834877.029454,16,short_path,39152,155298,155219,5312750729535.294,853287056266.6401,311315812255.7964
1613834877.030968,0,long_path,8251,8497,8474,5296041711801.135,844413903726.5529,299996429722.5113
1613834877.1200142,16,short_path,39192,155308,155267,5296041711801.135,844413903726.5529,299996429722.5113
1613834877.122035,0,long_path,8247,8453,8505,5298740973213.033,845492997851.4136,309617058458.387
1613834877.209952,16,short_path,39205,155681,155578,5298740973213.033,845492997851.4136,309617058458.387
1613834877.211607,0,long_path,8247,8485,8513,5318178862440.392,854422195002.4288,304860786038.0383
1613834877.300201,16,short_path,39349,155632,155583,5318178862440.392,854422195002.4288,304860786038.0383
1613834877.302167,0,long_path,8317,8531,8496,5347760623276.132,855095893156.4205,305717157533.09845
1613834877.402862,16,short_path,39183,155529,155486,5347760623276.132,855095893156.4205,305717157533.09845
1613834877.4043388,0,long_path,8285,8494,8479,5377523612602.703,846688977484.0614,307977241757.99677
1613834877.494829,16,short_path,39171,155611,155574,5377523612602.703,846688977484.0614,307977241757.99677
1613834877.496832,0,long_path,8493,8515,8468,5399113380864.049,845690742379.707,303258692303.5868
1613834877.569803,16,short_path,39177,155736,155662,5399113380864.049,845690742379.707,303258692303.5868
1613834877.571315,0,long_path,8269,8461,8515,5408628396209.422,852814222149.6833,309619555045.9
1613834877.659932,16,short_path,39210,155822,155808,5408628396209.422,852814222149.6833,309619555045.9
