timestamp,idx,path,c1,c2,c3
1613831210.221652,16,short_path,38197,155230,155633
1613831210.222375,0,long_path,8279,8558,8537
1613831210.311459,16,short_path,38195,155589,155535
1613831210.312114,0,long_path,8218,8557,8543
1613831210.386668,16,short_path,38182,155532,155482
1613831210.387272,0,long_path,8268,8563,8546
1613831210.476165,16,short_path,38256,155549,155537
1613831210.4765491,0,long_path,8280,8522,8519
1613831210.5663118,16,short_path,38228,155659,155586
1613831210.5668359,0,long_path,8282,8507,8563
1613831210.656272,16,short_path,38350,155664,155613
1613831210.656864,0,long_path,8239,8575,8549
1613831210.7465138,16,short_path,38204,155641,155602
1613831210.747176,0,long_path,8258,24585,8539
1613831210.836262,16,short_path,38245,155672,155642
1613831210.836637,0,long_path,8246,8556,8518
1613831210.926547,16,short_path,38191,155438,155393
1613831210.9270668,0,long_path,8239,8509,8576
1613831211.0161889,16,short_path,38183,155375,155339
1613831211.016595,0,long_path,8242,8541,8563
1613831211.106397,16,short_path,38172,155353,155301
1613831211.1069472,0,long_path,8261,8536,8531
1613831211.196577,16,short_path,38154,155318,155214
1613831211.196985,0,long_path,8495,8469,8500
1613831211.286616,16,short_path,38291,155030,155236
1613831211.2872,0,long_path,8273,8383,8530
1613831211.3762162,16,short_path,38146,155246,155207
1613831211.3767831,0,long_path,8274,8553,8497
1613831211.46662,16,short_path,38234,155293,155365
1613831211.467177,0,long_path,8279,8530,8606
1613831211.556167,16,short_path,38156,155253,155237
1613831211.5566878,0,long_path,8269,8542,8531
1613831211.646656,16,short_path,38155,155254,155244
1613831211.6473238,0,long_path,8518,8550,8567
1613831211.736785,16,short_path,38115,155020,154982
1613831211.737229,0,long_path,8210,8504,8533
1613831211.827157,16,short_path,38127,155013,154952
1613831211.827872,0,long_path,8254,8537,8528
1613831211.9314508,16,short_path,38125,154999,154943
1613831211.932106,0,long_path,8283,8518,8512
1613831212.0063539,16,short_path,38132,154983,154927
1613831212.0068,0,long_path,8268,8638,8549
1613831212.0962229,16,short_path,37417,155062,155000
1613831212.097106,0,long_path,7781,8532,8550
