timestamp,idx,path,c1,c2,c3,p1,p2,p3
1613834794.7099378,16,short_path,38992,154012,153666,0.0,0.0,0.0
1613834794.712132,0,long_path,8286,8456,8461,520724301343.8662,699852094107.5349,520724301343.8662
1613834794.829329,16,short_path,38987,153970,153945,575684045667.3702,705024320994.0201,470278621617.8852
1613834794.831294,0,long_path,8243,8484,8503,1396330586673.9558,289717484870.1732,1185441556728.5085
1613834794.889432,16,short_path,39027,153931,153927,1434735504627.7278,285959227607.5441,1153697730360.6433
1613834794.90456,0,long_path,8259,8508,8479,1733972633756.0286,432535193004.57904,1382782942853.4998
1613834794.9799948,16,short_path,38992,154010,153962,1739394557453.4822,434047499911.4767,1379659649621.127
1613834794.982613,0,long_path,8290,8524,8512,1691404338385.6206,379186173260.8797,1323023164292.3484
1613834795.079505,16,short_path,39044,154119,154072,1683932149570.4456,378301243868.34064,1330058946351.736
1613834795.082108,0,long_path,8247,8520,8538,1554537104296.2551,425441232763.01685,1214767996744.6094
1613834795.159198,16,short_path,39068,154253,154221,1547461393426.1545,426337039230.33856,1220794165095.208
1613834795.160644,0,long_path,8249,8492,8461,1485356363758.8672,396068195450.689,1171731282010.9858
1613834795.249108,16,short_path,39092,154301,154253,1484390413487.6255,395461147231.9742,1172189485135.0916
1613834795.250468,0,long_path,8223,8499,8484,1506359755756.9546,412607652545.36414,1196218508149.5608
1613834795.339989,16,short_path,37956,154010,153941,1509227867429.7324,413070428817.02716,1193509593688.8574
1613834795.3419719,0,long_path,7840,8486,8455,1557743141731.9937,395682617979.80164,1236874622897.479
1613834795.429445,16,short_path,39124,153923,153866,1560305013686.061,395163875963.7899,1234629950287.8838
1613834795.430932,0,long_path,8280,8503,8522,1582607135598.2004,408328296600.9087,1253535601064.776
1613834795.519407,16,short_path,39030,154038,153935,1582859339746.795,408784426199.09875,1253464754431.7869
1613834795.520959,0,long_path,8252,22903,8493,1571494859195.194,400933152272.44086,1240541211264.1418
1613834795.60955,16,short_path,39045,154152,154088,1572102614241.2314,404447420868.5263,1246075025962.0613
1613834795.6111932,0,long_path,8286,8428,8476,1588691719105.9465,413666488884.9218,1183065640234.2803
1613834795.6993458,16,short_path,39055,154162,153895,1588173282790.2708,410257993981.3402,1185048256944.4705
1613834795.70109,0,long_path,8270,8527,8470,1562432022217.4163,400669856896.24963,1189266858779.5083
1613834795.7896461,16,short_path,39044,154127,154072,1560627657307.0142,402321562691.30035,1187601835812.73
