timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613880335.800999,16,short_path,52834,27846,73376,0.0,0.0,0.0,0.0,0.0,0.0
1613880335.804332,32,long_path,5251,3485,14026,95406732007.57617,128226397375.99998,95406732007.57616,0.0,0.0,0.0
1613880335.88882,16,short_path,52866,27856,73179,95406732007.57617,128226397375.99998,95406732007.57616,2520272288.676269,3387239340.2790694,2520272288.676269
1613880335.892417,32,long_path,3482,3482,14003,337012591025.74524,262039467958.35342,44082841654.46902,2520272288.676269,3387239340.2790694,2520272288.676269
1613880335.980991,16,short_path,52786,27813,73273,337012591025.74524,262039467958.35342,44082841654.46902,8608858266.21437,6695412446.890259,1128709490.8075993
1613880335.98511,32,long_path,5282,3477,14026,623527054064.2046,191389777630.50897,38027953263.41015,8608858266.21437,6695412446.890259,1128709490.8075993
1613880336.0714061,16,short_path,52885,27799,73293,623527054064.2046,191389777630.50897,38027953263.41015,16066628788.07683,4826629463.107125,1102048570.6891747
1613880336.075047,32,long_path,5271,3467,14035,861020854631.4985,109697350907.50485,81200586599.77109,16066628788.07683,4826629463.107125,1102048570.6891747
1613880336.162448,16,short_path,52781,27803,73284,861020854631.4985,109697350907.50485,81200586599.77109,22318486722.49818,2850591538.6292386,2200357394.841936
1613880336.1670358,32,long_path,5251,3476,14021,1006340356548.3901,131630280526.00804,31986478104.31374,22318486722.49818,2850591538.6292386,2200357394.841936
1613880336.251564,16,short_path,52816,27814,73318,1006340356548.3901,131630280526.00804,31986478104.31374,26212422399.337524,3433478992.6784844,855294398.1323154
1613880336.255829,32,long_path,3472,3472,14019,1066323532749.7878,161175538655.1131,68578275758.36356,26212422399.337524,3433478992.6784844,855294398.1323154
1613880336.342176,16,short_path,52948,27834,73349,1066323532749.7878,161175538655.1131,68578275758.36356,27743384997.536106,3983870058.60589,1787708039.1571248
1613880336.3470342,32,long_path,5257,3469,14023,1068665162024.8041,153470951659.96118,47181313318.982735,27743384997.536106,3983870058.60589,1787708039.1571248
1613880336.432566,16,short_path,52807,27813,73323,1068665162024.8041,153470951659.96118,47181313318.982735,27744524748.860172,3766406868.0221534,1273104559.3597815
1613880336.436615,32,long_path,5262,3470,14012,1039188615850.7036,141454502346.80267,57489885778.02264,27744524748.860172,3766406868.0221534,1273104559.3597815
1613880336.5224051,16,short_path,52831,27840,73370,1039188615850.7036,141454502346.80267,57489885778.02264,26966089856.937595,3665118270.0826097,1561052644.5437922
1613880336.526491,32,long_path,5196,3477,14014,996793396458.2236,148164032582.47162,55312941676.37231,26966089856.937595,3665118270.0826097,1561052644.5437922
1613880336.612608,16,short_path,52870,27848,73400,996793396458.2236,148164032582.47162,55312941676.37231,25906079694.50018,3853388399.3109546,1425176564.1481252
1613880336.6166232,32,long_path,5254,3484,14038,956245584658.4789,158893472815.54666,51119841012.79355,25906079694.50018,3853388399.3109546,1425176564.1481252
1613880336.698965,16,short_path,52641,27809,73399,956245584658.4789,158893472815.54666,51119841012.79355,24916036003.077454,4029216310.441944,1415749128.814381
1613880336.703495,32,long_path,5273,3474,14066,927758194963.5272,155042843571.3756,58816159726.95317,24916036003.077454,4029216310.441944,1415749128.814381
1613880336.788795,16,short_path,52835,27825,73348,927758194963.5272,155042843571.3756,58816159726.95317,24242079278.29226,3938503028.6611757,1552557485.9002488
1613880336.7927191,32,long_path,5263,3468,13899,915167229404.0631,147858631976.86304,50885878465.21269,24242079278.29226,3938503028.6611757,1552557485.9002488
1613880336.879027,16,short_path,52923,27836,73360,915167229404.0631,147858631976.86304,50885878465.21269,23952076123.07227,3770764965.552191,1348764261.5279176
1613880336.883103,32,long_path,5242,3472,14033,916974740702.3298,150039458403.99796,57064233291.80669,23952076123.07227,3770764965.552191,1348764261.5279176
1613880336.972517,16,short_path,52837,27837,73356,916974740702.3298,150039458403.99796,57064233291.80669,23995436998.62475,3807261009.734824,1535863658.4569883
1613880336.976327,32,long_path,5260,3478,14038,928653020993.1033,154439391059.3981,53334857845.95386,23995436998.62475,3807261009.734824,1535863658.4569883
1613880337.06236,16,short_path,52837,27845,73372,928653020993.1033,154439391059.3981,53334857845.95386,24296109218.683132,3940431086.0036955,1429907067.1272035
1613880337.066972,32,long_path,3474,3474,14034,944923569647.144,152431898698.5106,54446900844.54962,24296109218.683132,3940431086.0036955,1429907067.1272035
1613880337.152444,16,short_path,52852,27844,73381,944923569647.144,152431898698.5106,54446900844.54962,24628772015.167713,3791539248.0437846,1369962696.9548614
1613880337.156323,32,long_path,5264,3483,14032,960760045316.233,148412682042.0497,55825250600.927986,24628772015.167713,3791539248.0437846,1369962696.9548614
1613880337.2416499,16,short_path,52871,27866,73420,960760045316.233,148412682042.0497,55825250600.927986,24918945149.467644,3675672779.973478,1545209071.6725044
1613880337.2478971,32,long_path,5254,3479,14017,972184931500.8538,149674350782.08728,52822124175.32334,24918945149.467644,3675672779.973478,1545209071.6725044
1613880337.3298078,16,short_path,52900,27864,73443,972184931500.8538,149674350782.08728,52822124175.32334,25177212976.86916,3880869883.0042987,1416556271.2961464
1613880337.333431,32,long_path,5274,3339,14033,977218454634.4722,152857644270.04712,56298686110.21341,25177212976.86916,3880869883.0042987,1416556271.2961464
1613880337.419073,16,short_path,52932,27893,73468,977218454634.4722,152857644270.04712,56298686110.21341,25340568938.619354,3961362266.0516434,1467565045.6979923
1613880337.423077,32,long_path,5266,3479,14060,976059519112.3096,152268938998.72607,53457599373.978096,25340568938.619354,3961362266.0516434,1467565045.6979923
1613880337.508872,16,short_path,52951,27863,73436,976059519112.3096,152268938998.72607,53457599373.978096,25381143367.677265,3863882559.37693,1479969016.9021547
1613880337.513107,32,long_path,5390,3491,14039,970309392335.7137,150032727645.59827,55203342037.66463,25381143367.677265,3863882559.37693,1479969016.9021547
1613880337.601729,16,short_path,52847,27845,73372,970309392335.7137,150032727645.59827,55203342037.66463,25313033941.528694,3825397835.2020545,1453136670.9701025
1613880337.6055,32,long_path,5248,3351,14060,962093286120.794,150423821781.41193,54572838104.20742,25313033941.528694,3825397835.2020545,1453136670.9701025
1613880337.692567,16,short_path,52801,27820,73331,962093286120.794,150423821781.41193,54572838104.20742,25165926609.257053,3862517970.1892266,1475286725.4987588
1613880337.6962821,32,long_path,5268,3478,14040,953731727873.3326,152269451309.39536,53887195611.23435,25165926609.257053,3862517970.1892266,1475286725.4987588
1613880337.782596,16,short_path,52793,27805,73376,953731727873.3326,152269451309.39536,53887195611.23435,24990333654.65672,3894953600.9399505,1442402607.8217902
1613880337.786143,32,long_path,5259,3487,14096,947446576862.5729,151994124926.01953,55507817291.27745,24990333654.65672,3894953600.9399505,1442402607.8217902
1613880337.872427,16,short_path,52828,27821,73353,947446576862.5729,151994124926.01953,55507817291.27745,24857794352.4842,3888524626.8260236,1499249696.0088568
1613880337.877556,32,long_path,3469,3469,14005,944636760760.4922,150497906287.80505,53611335192.98293,24857794352.4842,3888524626.8260236,1499249696.0088568
1613880337.962265,16,short_path,52842,27840,73389,944636760760.4922,150497906287.80505,53611335192.98293,24717803925.84081,3738970729.8860583,1349983440.5562139
