timestamp,idx,path,c1,c2,c3
1613789002.3459032,16,short_path,37116,135118,135496
1613789002.3465972,0,long_path,7834,8400,8391
1613789002.43409,16,short_path,37120,135901,135550
1613789002.435507,0,long_path,8201,8412,8380
1613789002.524076,16,short_path,37122,135914,135594
1613789002.525015,0,long_path,8230,8399,8408
1613789002.614073,16,short_path,37327,135973,135329
1613789002.615044,0,long_path,8236,8454,8109
1613789002.704164,16,short_path,37100,135837,135515
1613789002.705318,0,long_path,8253,8398,8372
1613789002.7940102,16,short_path,36888,135789,135435
1613789002.794944,0,long_path,8286,8413,8404
1613789002.8840342,16,short_path,37102,135754,135427
1613789002.885303,0,long_path,8208,8391,8422
1613789002.973948,16,short_path,37126,135734,135403
1613789002.9750159,0,long_path,8410,8389,8364
1613789003.063931,16,short_path,37099,135736,135348
1613789003.064832,0,long_path,8245,8381,8392
1613789003.153913,16,short_path,37107,135772,135413
1613789003.154795,0,long_path,8274,8442,8390
1613789003.243969,16,short_path,37107,135794,135463
1613789003.2449322,0,long_path,8202,8387,8385
1613789003.348947,16,short_path,37126,136013,135502
1613789003.349905,0,long_path,8601,8409,8377
1613789003.4392698,16,short_path,37295,135843,135552
1613789003.440362,0,long_path,8220,8418,8436
1613789003.51392,16,short_path,37100,135761,135438
1613789003.514833,0,long_path,8225,8420,8362
1613789003.604138,16,short_path,37328,135732,135531
1613789003.605411,0,long_path,8249,8401,8492
1613789003.694001,16,short_path,37110,135671,135364
1613789003.694947,0,long_path,8249,8389,8481
1613789003.784126,16,short_path,37032,135714,135328
1613789003.785033,0,long_path,8248,8385,8392
1613789003.873974,16,short_path,37124,135694,135342
1613789003.874909,0,long_path,8212,4620,8423
1613789003.964201,16,short_path,37132,135730,135403
1613789003.965493,0,long_path,8368,8416,8412
1613789004.0540211,16,short_path,37137,135770,135618
1613789004.05493,0,long_path,8251,8403,8386
1613789004.143984,16,short_path,37122,135830,135516
1613789004.1450481,0,long_path,8246,8404,8424
1613789004.234008,16,short_path,36955,135915,135593
1613789004.235352,0,long_path,8105,8394,8399
1613789004.324231,16,short_path,37159,135910,135571
1613789004.325396,0,long_path,8214,8369,8390
1613789004.413963,16,short_path,37296,135874,135489
1613789004.42883,0,long_path,8238,8458,8416
1613789004.504094,16,short_path,37121,135754,135418
1613789004.5053241,0,long_path,8215,8402,8409
1613789004.594032,16,short_path,37344,135743,135400
1613789004.6093729,0,long_path,8225,8401,8385
1613789004.684067,16,short_path,37122,135682,135380
1613789004.685475,0,long_path,8263,8420,8416
1613789004.773816,16,short_path,37340,135717,135424
1613789004.7889578,0,long_path,8268,8363,8410
1613789004.864005,16,short_path,37154,135793,135470
1613789004.909726,0,long_path,8271,4757,8387
1613789004.953892,16,short_path,37142,135825,135503
1613789004.954774,0,long_path,8229,8378,8371
1613789005.0438669,16,short_path,37135,135897,135659
1613789005.044915,0,long_path,8226,8419,8440
1613789005.149098,16,short_path,37149,135939,135587
1613789005.150325,0,long_path,8237,8398,8351
1613789005.239089,16,short_path,37193,135954,135625
1613789005.240337,0,long_path,8259,8443,8411
1613789005.313895,16,short_path,37147,135852,135528
1613789005.315092,0,long_path,8284,8320,8402
1613789005.403935,16,short_path,37375,135778,135457
1613789005.41907,0,long_path,8267,8427,8420
1613789005.4940622,16,short_path,37131,135735,135442
1613789005.495668,0,long_path,8255,8409,8408
1613789005.5841951,16,short_path,37363,135709,135395
1613789005.585106,0,long_path,8262,8424,8383
1613789005.674033,16,short_path,37132,135710,135408
1613789005.675086,0,long_path,8206,8432,8403
1613789005.763886,16,short_path,37144,135730,135412
1613789005.765078,0,long_path,8356,8378,8388
1613789005.8544729,16,short_path,37149,135770,135451
1613789005.8557272,0,long_path,8275,8391,8429
1613789005.9438798,16,short_path,37151,135810,135488
1613789005.944855,0,long_path,8253,8359,8398
1613789006.033963,16,short_path,37135,135873,135527
1613789006.034909,0,long_path,8248,8398,8438
1613789006.124358,16,short_path,37144,135898,135547
1613789006.1255,0,long_path,8114,8381,8385
1613789006.21395,16,short_path,37140,136027,135457
1613789006.214995,0,long_path,8300,8607,8398
1613789006.30389,16,short_path,37139,135692,135379
1613789006.3052402,0,long_path,8236,8407,8473
1613789006.393873,16,short_path,37025,135682,135335
1613789006.3947499,0,long_path,8294,8372,8408
1613789006.484215,16,short_path,37097,135642,135324
1613789006.4854279,0,long_path,8206,8389,8384
1613789006.633915,16,short_path,37001,135632,135321
1613789006.635227,0,long_path,8254,8394,8391
1613789006.663966,16,short_path,37103,135662,135322
1613789006.665086,0,long_path,8257,4565,8378
1613789006.76367,16,short_path,37128,135691,135350
1613789006.7645361,0,long_path,8535,8376,8408
1613789006.8438919,16,short_path,37117,135717,135363
1613789006.844776,0,long_path,8221,8340,8414
1613789006.9490528,16,short_path,37123,135761,135423
1613789006.950419,0,long_path,8287,8380,8393
1613789007.039219,16,short_path,37191,135738,135433
1613789007.040597,0,long_path,8322,8401,8349
1613789007.113905,16,short_path,37100,135625,135319
1613789007.11483,0,long_path,8189,8366,8376
