timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613880476.7198231,32,long_path,4185,3138,12733,870369693425.3633,137766477203.54172,49781101004.93001,19940056212.647404,3135158957.3083706,1162165322.0513892
1613880476.796847,16,short_path,50272,26102,70305,870369693425.3633,137766477203.54172,49781101004.93001,19958502803.59568,3124079909.8323736,1153619541.5489686
1613880476.811609,32,long_path,4152,3127,12706,871433067678.5927,137934333782.3144,49506337169.67653,19958502803.59568,3124079909.8323736,1153619541.5489686
1613880476.8869572,16,short_path,50292,26102,70313,871433067678.5927,137934333782.3144,49506337169.67653,19977593873.1639,3108831658.403314,1150369628.2518117
1613880476.900615,32,long_path,3131,3131,12706,872468463343.3816,137877818037.6046,49583258871.602516,19977593873.1639,3108831658.403314,1150369628.2518117
1613880476.9738722,16,short_path,50290,26108,70330,872468463343.3816,137877818037.6046,49583258871.602516,19950442008.76752,3054641368.809208,1116026797.224043
1613880476.991263,32,long_path,4139,3132,12718,873237354247.0509,137769994986.35852,49746913362.10694,19950442008.76752,3054641368.809208,1116026797.224043
1613880477.067271,16,short_path,50308,26116,70345,873237354247.0509,137769994986.35852,49746913362.10694,19895977252.065426,3064762136.794092,1173175787.5446107
1613880477.080427,32,long_path,4159,3135,12711,873590228629.4608,137808504024.12604,49467477520.44834,19895977252.065426,3064762136.794092,1173175787.5446107
1613880477.156085,16,short_path,50322,26124,70375,873590228629.4608,137808504024.12604,49467477520.44834,19880752533.525635,3152422171.3739076,1159596020.209966
1613880477.171026,32,long_path,4156,3129,12711,873509598794.4016,137986243823.17517,49799546182.98754,19880752533.525635,3152422171.3739076,1159596020.209966
1613880477.2465239,16,short_path,50361,26138,70403,873509598794.4016,137986243823.17517,49799546182.98754,19900366756.814133,3148602821.4075975,1132891382.0882654
1613880477.2609081,32,long_path,3135,3135,12726,873116478967.208,138105984338.4933,49607965923.3493,19900366756.814133,3148602821.4075975,1132891382.0882654
1613880477.33691,16,short_path,50293,26159,70428,873116478967.208,138105984338.4933,49607965923.3493,19893734353.71109,3056400507.090927,1138488248.3071325
1613880477.351304,32,long_path,4160,3135,12746,872568376816.019,138020376524.7062,49656198875.79549,19893734353.71109,3056400507.090927,1138488248.3071325
1613880477.426931,16,short_path,50321,26126,70357,872568376816.019,138020376524.7062,49656198875.79549,19863145579.843845,3063341961.282824,1163779885.2647364
1613880477.441043,32,long_path,4141,3134,12737,871978201691.4995,137843929684.32404,49682525511.75014,19863145579.843845,3063341961.282824,1163779885.2647364
1613880477.513592,16,short_path,50296,26111,70329,871978201691.4995,137843929684.32404,49682525511.75014,19864978815.662666,3163572009.085198,1164056557.96053
1613880477.530941,32,long_path,4158,3134,12715,871470836460.3385,137780882816.28064,49504407941.88887,19864978815.662666,3163572009.085198,1164056557.96053
1613880477.60699,16,short_path,50295,25950,70320,871470836460.3385,137780882816.28064,49504407941.88887,19892968046.635284,3155591057.238841,1134002264.9037902
1613880477.62205,32,long_path,4137,3166,12718,871163091306.7582,137757581759.96057,49681811743.01744,19892968046.635284,3155591057.238841,1134002264.9037902
1613880477.69344,16,short_path,50181,26117,70336,871163091306.7582,137757581759.96057,49681811743.01744,19929846480.943832,3102134640.7460213,1174160757.2095695
1613880477.7105868,32,long_path,4155,3129,12697,871137212349.5491,137713079118.69818,49507562448.052246,19929846480.943832,3102134640.7460213,1174160757.2095695
1613880477.782515,16,short_path,50296,26113,70399,871137212349.5491,137713079118.69818,49507562448.052246,19958583095.82593,3101998009.3788056,1139936924.3026972
1613880477.801496,32,long_path,4172,3127,12794,871509435922.0496,137882265924.56378,49723040156.64955,19958583095.82593,3101998009.3788056,1139936924.3026972
1613880477.876998,16,short_path,50254,26130,70354,871509435922.0496,137882265924.56378,49723040156.64955,19987345813.49171,3139207948.2414336,1171411184.9728994
1613880477.891167,32,long_path,4167,13168,12701,872158248975.2289,138010459153.78827,49611965945.44228,19987345813.49171,3139207948.2414336,1171411184.9728994
1613880477.967028,16,short_path,50311,26138,70369,872158248975.2289,138010459153.78827,49611965945.44228,21033787599.472553,4496940488.398155,2144212896.030401
1613880477.970776,32,long_path,4175,3137,12710,872779140521.3771,137917876308.89502,49569819953.984,21033787599.472553,4496940488.398155,2144212896.030401
1613880478.056656,16,short_path,50304,26123,70368,872779140521.3771,137917876308.89502,49569819953.984,22181148896.016663,4507895623.933134,1017483208.2306918
1613880478.060568,32,long_path,3135,3135,12736,873142828745.9431,137905153507.44324,49768903793.34435,22181148896.016663,4507895623.933134,1017483208.2306918
1613880478.146125,16,short_path,50353,26143,70394,873142828745.9431,137905153507.44324,49768903793.34435,22485661021.276558,2905198069.639173,1331550067.5359592
1613880478.160616,32,long_path,4170,3141,12728,873155941168.0144,138004989277.38812,49554534853.68895,22485661021.276558,2905198069.639173,1331550067.5359592
1613880478.236753,16,short_path,50322,26120,70358,873155941168.0144,138004989277.38812,49554534853.68895,22036400636.537357,2839076518.136506,1756792197.3524375
1613880478.250591,32,long_path,4157,3135,12713,872828603610.0018,137981145506.03802,49696088303.50608,22036400636.537357,2839076518.136506,1756792197.3524375
