timestamp,idx,path,c1,c2,c3,p1,p2,p3
1613833222.653152,16,short_path,38179,157035,157005,0.0,0.0,0.0
1613833222.742653,16,short_path,38252,157050,157039,0.0,0.0,0.0
1613833222.7446752,0,long_path,8251,8467,8561,0.0,0.0,0.0
1613833222.832578,16,short_path,38330,156920,156861,0.0,0.0,0.0
1613833222.834625,0,long_path,8225,8500,8505,0.0,0.0,0.0
1613833222.922658,16,short_path,38212,156816,156743,0.0,0.0,0.0
1613833222.924646,0,long_path,8229,8529,8533,0.0,0.0,0.0
1613833223.012856,16,short_path,38228,156791,156740,0.0,0.0,0.0
1613833223.014843,0,long_path,8274,8512,8503,0.0,0.0,0.0
1613833223.102419,16,short_path,38223,156780,156740,0.0,0.0,0.0
1613833223.105286,0,long_path,8238,25723,8489,0.0,0.0,0.0
1613833223.1924548,16,short_path,38245,156821,156723,0.0,0.0,0.0
1613833223.1943831,0,long_path,8519,8489,8456,0.0,0.0,0.0
1613833223.2825322,16,short_path,38214,156769,156808,0.0,0.0,0.0
1613833223.284524,0,long_path,8239,8508,8526,0.0,0.0,0.0
1613833223.37282,16,short_path,38193,156523,156424,0.0,0.0,0.0
1613833223.374826,0,long_path,8222,8520,8485,0.0,0.0,0.0
1613833223.4629278,16,short_path,38150,156369,156337,0.0,0.0,0.0
1613833223.4648461,0,long_path,8259,8496,8530,0.0,0.0,0.0
1613833223.5526662,16,short_path,38161,156310,156249,0.0,0.0,0.0
1613833223.554643,0,long_path,8294,8484,8483,0.0,0.0,0.0
1613833223.642653,16,short_path,38165,156243,156201,0.0,0.0,0.0
1613833223.6446998,0,long_path,8213,8473,8474,0.0,0.0,0.0
1613833223.732689,16,short_path,38147,156205,156168,0.0,0.0,0.0
1613833223.7346492,0,long_path,8263,8488,8505,0.0,0.0,0.0
1613833223.822685,16,short_path,38374,156194,156123,0.0,0.0,0.0
1613833223.824754,0,long_path,8250,8505,8466,0.0,0.0,0.0
1613833223.9126122,16,short_path,38138,156157,156136,0.0,0.0,0.0
1613833223.914618,0,long_path,8279,8481,8548,0.0,0.0,0.0
1613833224.002398,16,short_path,38043,155812,155771,0.0,0.0,0.0
1613833224.0044138,0,long_path,8240,8506,8539,0.0,0.0,0.0
1613833224.092866,16,short_path,38015,155542,155502,0.0,0.0,0.0
1613833224.094848,0,long_path,8228,24468,8505,0.0,0.0,0.0
1613833224.182185,16,short_path,38048,155411,155391,0.0,0.0,0.0
1613833224.183937,0,long_path,8213,8495,8473,0.0,0.0,0.0
1613833224.287704,16,short_path,38019,155317,155302,0.0,0.0,0.0
1613833224.2897012,0,long_path,8234,8473,8480,0.0,0.0,0.0
1613833224.37775,16,short_path,38013,155264,155115,0.0,0.0,0.0
