timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613955132.909162,32,long_path,3306,3254,13531,904822194627.5143,150342302797.62747,48122573280.82779,25708225163.956497,3406749615.7495604,2231880597.735183
1613955132.997471,16,short_path,54710,27062,68818,904822194627.5143,150342302797.62747,48122573280.82779,24290215149.344593,3299993272.935712,1661814272.716454
1613955133.001274,32,long_path,3302,3254,13527,877601699586.7997,146841243501.60696,55679727853.03767,24290215149.344593,3299993272.935712,1661814272.716454
1613955133.090176,16,short_path,54555,27066,68827,877601699586.7997,146841243501.60696,55679727853.03767,23369994804.47317,3165334671.7324724,2091875804.6193724
1613955133.096201,32,long_path,3319,3256,13543,865847545535.1501,140236919934.99075,47863617605.90518,23369994804.47317,3165334671.7324724,2091875804.6193724
1613955133.177635,16,short_path,54561,27073,68825,865847545535.1501,140236919934.99075,47863617605.90518,22977750930.767624,3180224463.6516504,1817588510.0964913
1613955133.181472,32,long_path,3313,3256,13535,867701357773.8297,141919694224.4147,53727846203.271194,22977750930.767624,3180224463.6516504,1817588510.0964913
1613955133.267204,16,short_path,54572,27078,68834,867701357773.8297,141919694224.4147,53727846203.271194,23040545214.3786,3265965562.120237,1927020612.610524
1613955133.272017,32,long_path,3317,3255,13543,878809024081.8239,145979861570.71133,50409444654.755325,23040545214.3786,3265965562.120237,1927020612.610524
1613955133.354251,16,short_path,54565,27074,68831,878809024081.8239,145979861570.71133,50409444654.755325,23416414401.215073,3233947230.0602875,1957625985.6291378
1613955133.3570812,32,long_path,3200,3200,13554,894232561036.604,144314831302.078,51222589923.0922,23416414401.215073,3233947230.0602875,1957625985.6291378
1613955133.447531,16,short_path,54552,27074,68808,894232561036.604,144314831302.078,51222589923.0922,23926168610.268066,3154893212.161269,1837047501.2238724
1613955133.451072,32,long_path,3320,3259,13563,909181668260.1448,140469555337.09543,52629322040.153145,23926168610.268066,3154893212.161269,1837047501.2238724
1613955133.537607,16,short_path,54543,27068,68797,909181668260.1448,140469555337.09543,52629322040.153145,24411720789.753857,3148124285.5996075,1998282816.4342065
1613955133.541919,32,long_path,3329,3267,13553,919820135764.5232,141437384926.154,49707689489.68219,24411720789.753857,3148124285.5996075,1998282816.4342065
1613955133.627562,16,short_path,54538,27067,68799,919820135764.5232,141437384926.154,49707689489.68219,24761785978.37276,3208171954.8509974,1846450163.50264
1613955133.631115,32,long_path,3330,3255,13549,924253639046.1141,144343359184.6879,52983903370.47934,24761785978.37276,3208171954.8509974,1846450163.50264
1613955133.717362,16,short_path,54528,27061,68785,924253639046.1141,144343359184.6879,52983903370.47934,24919990434.821568,3219051393.508088,1955602904.859253
1613955133.722081,32,long_path,3263,3263,13545,922699097325.5315,143771834385.19324,50274256239.241264,24919990434.821568,3219051393.508088,1955602904.859253
1613955133.80782,16,short_path,54446,27056,68793,922699097325.5315,143771834385.19324,50274256239.241264,24885618492.306625,3172853098.2406797,1902421950.1479092
1613955133.812238,32,long_path,3322,3252,13542,916743733080.0763,141622685308.47598,51891442462.33871,24885618492.306625,3172853098.2406797,1902421950.1479092
1613955133.897697,16,short_path,54531,27065,68798,916743733080.0763,141622685308.47598,51891442462.33871,24704516878.208,3167967872.387217,1898518851.4291868
1613955133.901979,32,long_path,3317,3257,13559,908665565960.8107,142209856963.77686,51512697730.536674,24704516878.208,3167967872.387217,1898518851.4291868
1613955133.9876292,16,short_path,54537,27075,68809,908665565960.8107,142209856963.77686,51512697730.536674,24454421749.3551,3210606788.603002,1949168907.3036478
1613955133.9922209,32,long_path,3325,3257,13523,900914601847.6869,144327676277.8994,50799512217.02017,24454421749.3551,3210606788.603002,1949168907.3036478
1613955134.078259,16,short_path,54543,27078,68805,900914601847.6869,144327676277.8994,50799512217.02017,24211466014.91083,3223105665.666567,1870473816.3505342
1613955134.081949,32,long_path,3310,3272,13553,895464421188.9026,144038752829.9796,52291974053.92435,24211466014.91083,3223105665.666567,1870473816.3505342
1613955134.1675022,16,short_path,54721,27073,68801,895464421188.9026,144038752829.9796,52291974053.92435,24035414254.818733,3194879233.8102922,1953847781.7355657
1613955134.1717498,32,long_path,3315,3240,13550,893443011584.4612,142504235457.20248,50657357228.79251,24035414254.818733,3194879233.8102922,1953847781.7355657
1613955134.2563782,16,short_path,54600,27072,68781,893443011584.4612,142504235457.20248,50657357228.79251,23962023896.26796,3186702056.4901104,1890110042.1843245
1613955134.2605171,32,long_path,3397,3255,13548,894774495138.8175,142666893686.67346,51995451858.05533,23962023896.26796,3186702056.4901104,1890110042.1843245
1613955134.347554,16,short_path,54455,27052,68534,894774495138.8175,142666893686.67346,51995451858.05533,23993522297.026226,3209707908.293825,1923519066.6093974
1613955134.351545,32,long_path,3335,3153,13440,898179309666.5322,143361955467.98624,50839887490.3373,23993522297.026226,3209707908.293825,1923519066.6093974
1613955134.437425,16,short_path,54509,27062,68766,898179309666.5322,143361955467.98624,50839887490.3373,24085755078.91271,3191102345.8654876,1904492843.9995928
1613955134.441269,32,long_path,3321,3267,13542,902471949507.3899,143081102509.39642,51487394428.104675,24085755078.91271,3191102345.8654876,1904492843.9995928
1613955134.526674,16,short_path,54502,27059,68827,902471949507.3899,143081102509.39642,51487394428.104675,24204871692.858486,3166206501.352834,1904339799.7850962
1613955134.530529,32,long_path,3254,3254,13618,906755998627.9202,142529653769.86026,51774030359.35805,24204871692.858486,3166206501.352834,1904339799.7850962
1613955134.6166432,16,short_path,54502,27058,68763,906755998627.9202,142529653769.86026,51774030359.35805,24344783635.618275,3204812973.6596193,1949567633.1813922
1613955134.6207192,32,long_path,3323,3273,13546,909918460856.4259,142644858149.9563,50729845388.96094,24344783635.618275,3204812973.6596193,1949567633.1813922
1613955134.7064252,16,short_path,54512,27063,68782,909918460856.4259,142644858149.9563,50729845388.96094,24465728357.640686,3224066909.269049,1879106894.9030464
1613955134.710773,32,long_path,3318,3263,13490,911190558903.6947,143284743340.58182,52039629548.04092,24465728357.640686,3224066909.269049,1879106894.9030464
1613955134.796132,16,short_path,54531,27067,68798,911190558903.6947,143284743340.58182,52039629548.04092,24518402424.22649,3186874863.161398,1931574472.9183788
1613955134.80035,32,long_path,3319,3252,13517,910491709811.575,143327318456.54504,50956395352.40966,24518402424.22649,3186874863.161398,1931574472.9183788
1613955134.8846211,16,short_path,54521,27066,68786,910491709811.575,143327318456.54504,50956395352.40966,24491473789.256462,3165204335.523719,1905417918.9362996
1613955134.888208,32,long_path,3320,3256,13551,908267301832.7234,142692249764.69763,51597764408.309814,24491473789.256462,3165204335.523719,1905417918.9362996
1613955134.976623,16,short_path,54451,27059,68782,908267301832.7234,142692249764.69763,51597764408.309814,24414138322.148865,3191244314.4917407,1914300571.9670756
1613955134.980546,32,long_path,3308,3255,13522,905231334807.9047,142583862563.0341,51389151592.74295,24414138322.148865,3191244314.4917407,1914300571.9670756
1613955135.0675452,16,short_path,54512,27060,68776,905231334807.9047,142583862563.0341,51389151592.74295,24317578392.747387,3208411614.2228284,1919356195.3940673
1613955135.0718021,32,long_path,3309,3248,13526,902270863645.1642,143228317767.3311,51159466288.10749,24317578392.747387,3208411614.2228284,1919356195.3940673
1613955135.157315,16,short_path,54531,27069,68797,902270863645.1642,143228317767.3311,51159466288.10749,24225059024.61302,3196182153.0267835,1899128321.7164066
1613955135.1611142,32,long_path,3309,3253,13542,900246026211.323,143429061220.88034,51791784456.12184,24225059024.61302,3196182153.0267835,1899128321.7164066
1613955135.2472918,16,short_path,54515,27060,68781,900246026211.323,143429061220.88034,51791784456.12184,24161162192.568478,3189419825.2632556,1931413755.6089566
1613955135.251153,32,long_path,3311,3258,13505,899601957421.3502,142887841354.74966,50988735168.55812,24161162192.568478,3189419825.2632556,1931413755.6089566
1613955135.337674,16,short_path,54333,27002,68774,899601957421.3502,142887841354.74966,50988735168.55812,24135464897.744514,3189218575.437646,1895669667.7652342
1613955135.342389,32,long_path,3361,3361,13521,900175249769.3955,142539271663.8036,51553950945.499435,24135464897.744514,3189218575.437646,1895669667.7652342
1613955135.4276109,16,short_path,54487,27042,68741,900175249769.3955,142539271663.8036,51553950945.499435,24152727669.19163,3198288784.2496176,1925265934.1089668
1613955135.431614,32,long_path,3308,3247,13366,901615393549.6298,142923801935.65634,51283727510.20694,24152727669.19163,3198288784.2496176,1925265934.1089668
1613955135.517457,16,short_path,54349,26970,68464,901615393549.6298,142923801935.65634,51283727510.20694,24182805275.305004,3173513460.951657,1890068384.1165237
1613955135.521064,32,long_path,3392,3277,13665,903237637740.1641,142835812465.11606,51024522360.10202,24182805275.305004,3173513460.951657,1890068384.1165237
1613955135.604476,16,short_path,54356,26974,68474,903237637740.1641,142835812465.11606,51024522360.10202,24237569774.068565,3189817624.331535,1940341333.7516167
1613955135.6083379,32,long_path,3371,3273,13686,904341623524.8907,142032743260.4327,51376280507.22637,24237569774.068565,3189817624.331535,1940341333.7516167
1613955135.697608,16,short_path,54412,27009,68523,904341623524.8907,142032743260.4327,51376280507.22637,24349471483.493614,3270563654.163506,1943092229.217565
1613955135.701343,32,long_path,3284,3284,13676,904809206888.172,142157310198.75885,51109017429.29014,24349471483.493614,3270563654.163506,1943092229.217565
1613955135.787406,16,short_path,54420,27028,68547,904809206888.172,142157310198.75885,51109017429.29014,24473262194.502518,3261921981.410344,1895033883.4589255
1613955135.791212,32,long_path,3402,3284,13694,904675792461.7343,142902370730.0038,51395207084.51887,24473262194.502518,3261921981.410344,1895033883.4589255
1613955135.8775628,16,short_path,54451,27036,68483,904675792461.7343,142902370730.0038,51395207084.51887,24568483313.358555,3221701635.119901,1962326013.5887065
1613955135.8811898,32,long_path,3481,3326,13935,903959059295.914,142917639258.2044,51126781267.961,24568483313.358555,3221701635.119901,1962326013.5887065
1613955135.967459,16,short_path,54435,27023,68469,903959059295.914,142917639258.2044,51126781267.961,24659510934.14482,3284920235.961964,1951131880.1374228
1613955135.9716978,32,long_path,3485,3258,13966,902746482051.8511,142373755429.66064,51250162743.76559,24659510934.14482,3284920235.961964,1951131880.1374228
1613955136.057554,16,short_path,54401,26991,68465,902746482051.8511,142373755429.66064,51250162743.76559,24768465387.354282,3357367990.228401,1955072275.2700129
1613955136.0614579,32,long_path,3433,3296,13827,901280885217.913,142217644317.00095,51269906701.61568,24768465387.354282,3357367990.228401,1955072275.2700129
1613955136.147441,16,short_path,54351,26959,68411,901280885217.913,142217644317.00095,51269906701.61568,24846730062.151196,3299770956.767243,1930451054.6838818
1613955136.151299,32,long_path,3388,3251,13788,899868173511.5988,142451915347.7413,50983348843.64058,24846730062.151196,3299770956.767243,1930451054.6838818
1613955136.237476,16,short_path,54328,26939,68403,899868173511.5988,142451915347.7413,50983348843.64058,24852315974.08582,3218604941.355262,1936671713.590811
1613955136.242214,32,long_path,3396,3283,13732,898826153995.92,142456137825.3163,51336660197.67909,24852315974.08582,3218604941.355262,1936671713.590811
1613955136.324516,16,short_path,54324,26984,68376,898826153995.92,142456137825.3163,51336660197.67909,24793056029.789528,3219766705.3246536,1936395887.4330916
1613955136.3283122,32,long_path,3388,3317,13730,898409114867.5204,142215464971.21408,50991772139.34282,24793056029.789528,3219766705.3246536,1936395887.4330916
