timestamp,idx,path,c1,c2,c3
1613830116.084196,16,short_path,36961,147462,147451
1613830116.084805,0,long_path,8242,8433,8429
1613830116.1874418,16,short_path,36872,147045,146993
1613830116.188274,0,long_path,8233,8467,8464
1613830116.262572,16,short_path,36940,147213,147155
1613830116.2631161,0,long_path,8207,8415,8455
1613830116.385216,16,short_path,36969,147256,147264
1613830116.3857942,0,long_path,8257,8480,8465
1613830116.442972,16,short_path,36929,147013,146995
1613830116.443443,0,long_path,8251,8469,8473
1613830116.533226,16,short_path,37001,147227,147189
1613830116.5340211,0,long_path,8265,8434,8426
1613830116.622499,16,short_path,36953,147448,147424
1613830116.622976,0,long_path,8259,8518,8511
1613830116.71266,16,short_path,37055,147747,147674
1613830116.713522,0,long_path,8225,8524,8460
1613830116.802667,16,short_path,36884,147242,147199
1613830116.8175738,0,long_path,8263,8502,8459
1613830116.892343,16,short_path,36946,147141,147100
1613830116.922225,0,long_path,8264,16065,8478
1613830116.982497,16,short_path,36936,147091,147070
1613830116.982774,0,long_path,8472,8512,8519
1613830117.072726,16,short_path,36939,146975,146945
1613830117.102592,0,long_path,8245,8447,8443
1613830117.1624792,16,short_path,36891,146909,146867
1613830117.162907,0,long_path,8266,8487,8455
1613830117.252639,16,short_path,36868,146713,146686
1613830117.2530508,0,long_path,8291,8467,8459
1613830117.342505,16,short_path,36861,146891,146807
1613830117.372928,0,long_path,8224,8458,8474
1613830117.432684,16,short_path,37187,146605,146560
1613830117.433114,0,long_path,8249,8440,8408
1613830117.522658,16,short_path,36943,147056,146701
1613830117.523158,0,long_path,8268,8456,8122
1613830117.612633,16,short_path,36869,147531,147507
1613830117.627765,0,long_path,8298,8419,8467
1613830117.702431,16,short_path,37069,147724,147697
1613830117.717607,0,long_path,8212,8474,8488
1613830117.792266,16,short_path,37035,147919,147868
1613830117.792717,0,long_path,8268,8481,8485
1613830117.882302,16,short_path,37181,147992,147942
1613830117.8827589,0,long_path,8300,16933,8425
1613830117.972755,16,short_path,37165,148070,147997
1613830117.973124,0,long_path,8274,8486,8513
1613830118.062377,16,short_path,37131,147609,147485
1613830118.062746,0,long_path,8239,8450,8486
1613830118.1826298,16,short_path,37156,147711,147683
1613830118.1830568,0,long_path,8242,8456,8498
1613830118.242118,16,short_path,37038,147269,147268
1613830118.272619,0,long_path,8259,8452,8454
1613830118.3326259,16,short_path,37015,147120,147093
1613830118.347241,0,long_path,8258,8322,8463
1613830118.422477,16,short_path,36916,147099,147045
1613830118.423021,0,long_path,8302,8540,8444
1613830118.513076,16,short_path,36976,147091,146825
1613830118.513658,0,long_path,8192,8525,8328
1613830118.602359,16,short_path,36880,146958,146900
1613830118.617573,0,long_path,8268,8521,8419
1613830118.692621,16,short_path,36854,146397,146353
1613830118.693127,0,long_path,8287,8477,8472
1613830118.782426,16,short_path,36898,146432,146401
1613830118.7977102,0,long_path,8447,8481,8499
1613830118.8728662,16,short_path,36917,146611,146555
1613830118.873392,0,long_path,8250,15501,8478
1613830118.962494,16,short_path,36878,146560,146509
1613830118.962914,0,long_path,8272,8437,8413
1613830119.052591,16,short_path,36875,146526,146515
1613830119.0530272,0,long_path,8250,8460,8476
1613830119.142612,16,short_path,36790,146673,146636
1613830119.14303,0,long_path,8216,8459,8491
1613830119.2327979,16,short_path,36912,146807,146764
1613830119.247766,0,long_path,8273,8421,8464
1613830119.32305,16,short_path,36846,146591,146538
1613830119.368103,0,long_path,8251,8359,8514
1613830119.41255,16,short_path,36910,146562,146466
1613830119.4130611,0,long_path,8263,8512,8452
1613830119.517112,16,short_path,36858,146681,146663
1613830119.517479,0,long_path,8243,8459,8471
1613830119.592532,16,short_path,36841,146684,146626
1613830119.593032,0,long_path,8260,8492,8428
1613830119.682946,16,short_path,36859,146713,146679
1613830119.683338,0,long_path,8254,8502,8461
1613830119.772778,16,short_path,36878,146863,146841
1613830119.773077,0,long_path,8476,8478,8436
1613830119.862655,16,short_path,36887,146912,146891
1613830119.8631392,0,long_path,8265,8494,8483
1613830119.982688,16,short_path,36836,146659,146642
1613830119.983189,0,long_path,8219,8486,8471
1613830120.072345,16,short_path,36817,146621,146589
1613830120.072809,0,long_path,8245,8407,8443
1613830120.1326258,16,short_path,36705,146725,146719
1613830120.133051,0,long_path,8272,8441,8466
1613830120.222711,16,short_path,36792,146663,146599
1613830120.223213,0,long_path,8243,8423,8466
1613830120.312735,16,short_path,36816,146634,142945
1613830120.313251,0,long_path,8273,8429,8336
1613830120.402207,16,short_path,36825,146690,146689
1613830120.432193,0,long_path,8255,8468,8476
1613830120.492296,16,short_path,36802,146707,146676
1613830120.4926798,0,long_path,8273,8462,8458
1613830120.5826292,16,short_path,36610,146179,146136
1613830120.582978,0,long_path,8221,8446,8448
1613830120.6722538,16,short_path,36679,146078,146065
1613830120.672599,0,long_path,8244,15044,8475
1613830120.762487,16,short_path,36671,146105,146088
1613830120.762974,0,long_path,8455,8447,8508
1613830120.853298,16,short_path,36673,146029,146174
1613830120.8542368,0,long_path,8213,8428,8498
1613830120.9426491,16,short_path,36661,145992,145949
1613830120.943089,0,long_path,8222,8411,8457
1613830121.032594,16,short_path,36689,146094,146030
1613830121.033039,0,long_path,8238,8489,8481
1613830121.122646,16,short_path,36682,146115,146000
1613830121.123144,0,long_path,8293,8473,8443
1613830121.2128232,16,short_path,36638,146011,146023
1613830121.242818,0,long_path,8239,8464,8442
1613830121.3027031,16,short_path,36881,146557,146855
1613830121.3031769,0,long_path,8212,8459,8686
1613830121.3922281,16,short_path,37044,146386,146362
1613830121.392637,0,long_path,8254,8425,8537
1613830121.5129962,16,short_path,36834,146334,146336
1613830121.51334,0,long_path,8305,8464,8469
1613830121.572257,16,short_path,36713,146006,146009
1613830121.572643,0,long_path,8500,8414,8455
1613830121.662587,16,short_path,36674,145965,145923
1613830121.662955,0,long_path,8230,14883,8451
1613830121.7678368,16,short_path,36555,145538,145534
1613830121.768265,0,long_path,8305,8420,8469
1613830121.842481,16,short_path,36531,145282,145177
1613830121.84312,0,long_path,8261,8487,8490
1613830121.932822,16,short_path,33730,145371,145338
1613830121.933249,0,long_path,8257,8425,8431
1613830122.022783,16,short_path,36554,145440,145411
1613830122.037827,0,long_path,8253,8504,8467
1613830122.120041,16,short_path,36595,145565,145554
1613830122.1202738,0,long_path,8208,8679,8448
1613830122.202445,16,short_path,36850,145909,145839
1613830122.2027788,0,long_path,8224,8440,8451
1613830122.2928882,16,short_path,36778,146281,146242
1613830122.293261,0,long_path,8238,8464,8426
1613830122.3829298,16,short_path,36842,146189,146115
1613830122.3832479,0,long_path,8234,8494,8493
1613830122.4726698,16,short_path,36724,146113,146070
1613830122.473089,0,long_path,8257,8446,8498
1613830122.56238,16,short_path,36765,146445,146405
1613830122.562815,0,long_path,8457,8460,8468
1613830122.652864,16,short_path,36772,146500,146460
1613830122.6532621,0,long_path,8246,8444,8440
1613830122.742982,16,short_path,36778,146607,146567
1613830122.7579021,0,long_path,8308,8499,8443
1613830122.832293,16,short_path,36778,146641,146618
1613830122.832675,0,long_path,8216,8491,8456
