timestamp,idx,path,c1,c2,c3
1613789409.225482,16,short_path,35595,131367,131339
1613789409.313643,16,short_path,35861,131466,131442
1613789409.317448,0,long_path,8284,8503,8487
1613789409.4176462,16,short_path,35926,131447,131404
1613789409.420612,0,long_path,8276,8499,8500
1613789409.4943528,16,short_path,35861,131397,131394
1613789409.497909,0,long_path,8273,8495,8451
1613789409.5848682,16,short_path,35637,131353,131330
1613789409.58922,0,long_path,8500,8476,8526
1613789409.68078,16,short_path,35856,131360,131308
1613789409.683991,0,long_path,8257,8502,8500
1613789409.7622669,16,short_path,35847,131344,131311
1613789409.7650821,0,long_path,8306,8475,8507
1613789409.881622,16,short_path,35861,131373,131340
1613789409.886152,0,long_path,8282,8501,8468
1613789409.942257,16,short_path,35873,131414,131386
1613789409.945865,0,long_path,8218,8483,8505
1613789410.032203,16,short_path,35878,131494,131449
1613789410.035295,0,long_path,8259,8485,8477
1613789410.123035,16,short_path,35882,131563,131521
1613789410.126009,0,long_path,8258,8502,8506
1613789410.212544,16,short_path,35862,131649,131610
1613789410.21507,0,long_path,8280,8501,8518
1613789410.302315,16,short_path,35918,131686,131627
1613789410.3063092,0,long_path,8245,8490,8488
1613789410.392803,16,short_path,36087,131596,131570
1613789410.395812,0,long_path,8251,8492,8525
1613789410.482649,16,short_path,35922,132054,131524
1613789410.486353,0,long_path,8282,8484,8439
1613789410.572582,16,short_path,35926,131583,131534
1613789410.576294,0,long_path,8516,8498,8469
1613789410.661917,16,short_path,35921,131572,131368
1613789410.6638489,0,long_path,8291,8450,8501
1613789410.752196,16,short_path,35921,131617,131559
1613789410.767414,0,long_path,8274,8488,8481
1613789410.8421462,16,short_path,35936,131625,131605
1613789410.844317,0,long_path,8270,8497,8467
1613789410.932402,16,short_path,35941,131710,131690
1613789410.936395,0,long_path,8270,8485,8480
1613789411.022431,16,short_path,35904,131777,131760
1613789411.024464,0,long_path,8237,8483,8503
1613789411.112664,16,short_path,35952,131865,131831
1613789411.1149068,0,long_path,8320,8515,8500
1613789411.203129,16,short_path,35895,131950,131933
1613789411.20642,0,long_path,8332,8447,8477
1613789411.292039,16,short_path,35985,131921,131904
1613789411.2941508,0,long_path,8289,8490,8519
1613789411.382019,16,short_path,35853,131887,131837
1613789411.385232,0,long_path,8326,8507,8491
1613789411.471916,16,short_path,35991,131852,131827
1613789411.474779,0,long_path,8291,8489,8454
1613789411.56148,16,short_path,35994,131858,131829
1613789411.563509,0,long_path,8284,8511,8500
1613789411.654933,16,short_path,35988,131874,131675
1613789411.6569002,0,long_path,8261,8462,8470
1613789411.742253,16,short_path,35983,131906,131884
1613789411.745525,0,long_path,8272,8506,8514
1613789411.84652,16,short_path,35976,131928,131932
1613789411.8482409,0,long_path,8276,8513,8513
1613789411.9220312,16,short_path,35999,132000,131979
1613789411.9526489,0,long_path,8250,8493,8524
1613789412.011754,16,short_path,35846,132041,132045
1613789412.014024,0,long_path,8278,8478,8466
1613789412.1035578,16,short_path,36007,132133,132091
1613789412.105669,0,long_path,8248,8476,8497
1613789412.191653,16,short_path,35880,132170,132122
1613789412.193323,0,long_path,8239,8483,8554
1613789412.2965078,16,short_path,36032,132085,132053
1613789412.297961,0,long_path,8269,8463,8485
1613789412.372863,16,short_path,36337,132041,132040
1613789412.3758342,0,long_path,8453,8461,8475
1613789412.461673,16,short_path,36028,132041,132014
1613789412.46324,0,long_path,8264,879,8509
1613789412.597439,16,short_path,36016,132055,132013
1613789412.599404,0,long_path,8253,8488,8531
1613789412.6439328,16,short_path,36019,132062,132018
1613789412.6453388,0,long_path,8285,8493,8494
1613789412.746617,16,short_path,36040,132082,132050
1613789412.747947,0,long_path,8235,8517,8478
1613789412.822187,16,short_path,36027,132120,132056
1613789412.823851,0,long_path,8244,8525,8427
1613789412.911485,16,short_path,36036,132161,132132
1613789412.913324,0,long_path,8282,8531,8497
1613789413.016931,16,short_path,35894,132223,132192
1613789413.018999,0,long_path,8243,8446,8498
1613789413.091397,16,short_path,36080,132305,132235
