timestamp,idx,path,c1,c2,c3
1613829433.328963,16,short_path,37834,153857,153855
1613829433.4042041,16,short_path,37369,153315,153265
1613829433.419219,0,long_path,8081,8504,8532
1613829433.4941561,16,short_path,37674,153448,153412
1613829433.509229,0,long_path,8238,8366,8509
1613829433.5841012,16,short_path,37741,153525,153737
1613829433.5991712,0,long_path,8304,8520,8690
1613829433.673641,16,short_path,37660,153545,153226
1613829433.689278,0,long_path,8275,8551,8355
1613829433.764093,16,short_path,37882,153620,153592
1613829433.779177,0,long_path,8315,8546,8533
1613829433.854089,16,short_path,37695,153736,153730
1613829433.869185,0,long_path,8256,8543,8500
1613829433.976319,16,short_path,37652,153431,153390
1613829433.976706,0,long_path,8229,8541,8511
1613829434.0340989,16,short_path,37681,153492,153429
1613829434.0642931,0,long_path,8280,22389,8512
1613829434.123872,16,short_path,37730,153689,153660
1613829434.1540859,0,long_path,8247,8533,8526
1613829434.213907,16,short_path,37683,153590,153437
1613829434.2292411,0,long_path,8285,8521,8565
1613829434.303919,16,short_path,37132,153601,153575
1613829434.304447,0,long_path,8329,8520,8551
1613829434.408936,16,short_path,37760,153777,153743
1613829434.409463,0,long_path,8253,8491,8523
1613829434.483656,16,short_path,37634,153181,153071
1613829434.4992042,0,long_path,8213,8605,8518
1613829434.5745358,16,short_path,37457,152455,151984
1613829434.57499,0,long_path,8292,8500,8154
1613829434.664159,16,short_path,37506,152475,152425
1613829434.67916,0,long_path,8228,8513,8567
1613829434.7540858,16,short_path,37473,152415,152419
1613829434.769181,0,long_path,8264,8537,8545
1613829434.844227,16,short_path,37557,152521,152496
1613829434.859197,0,long_path,8251,8534,8514
1613829434.949091,16,short_path,37575,152641,152617
1613829434.949567,0,long_path,8518,8510,8525
1613829435.024016,16,short_path,37534,152403,152344
1613829435.039127,0,long_path,8240,21343,8570
1613829435.1139789,16,short_path,37509,152288,152265
1613829435.12915,0,long_path,8227,8507,8508
1613829435.204126,16,short_path,37523,152338,152159
1613829435.219171,0,long_path,8314,8524,8491
1613829435.2943099,16,short_path,37761,152262,152240
1613829435.2949178,0,long_path,8274,8487,8513
1613829435.3839018,16,short_path,37511,152084,152229
1613829435.39871,0,long_path,8296,8363,8507
1613829435.47363,16,short_path,37499,152309,152261
1613829435.489123,0,long_path,8286,8525,8510
1613829435.563675,16,short_path,37476,152332,152417
1613829435.579273,0,long_path,8269,8517,8628
1613829435.6539881,16,short_path,37411,151950,151922
1613829435.6692438,0,long_path,8217,8529,8490
1613829435.759239,16,short_path,37416,151960,151921
1613829435.759619,0,long_path,8240,8502,8495
1613829435.8340921,16,short_path,37422,152007,151943
1613829435.849208,0,long_path,8269,8519,8475
1613829435.9241831,16,short_path,37422,152056,152034
1613829435.954238,0,long_path,8493,8470,8514
1613829436.0140202,16,short_path,37451,152201,152161
1613829436.0291982,0,long_path,8204,8500,8525
1613829436.10406,16,short_path,37444,152281,152277
1613829436.119026,0,long_path,8223,8498,8483
1613829436.193784,16,short_path,37269,152381,152355
1613829436.209096,0,long_path,8138,8490,8490
1613829436.283937,16,short_path,37397,152257,152187
1613829436.299039,0,long_path,8302,8492,8503
1613829436.3741848,16,short_path,37409,152365,152167
1613829436.389305,0,long_path,8295,8672,8523
1613829436.464065,16,short_path,37465,152441,151790
1613829436.4789782,0,long_path,8268,8522,7932
1613829436.553697,16,short_path,37467,152710,152676
1613829436.568705,0,long_path,8249,8478,8500
1613829436.6440032,16,short_path,37530,153031,152977
1613829436.659169,0,long_path,8283,8457,8476
1613829436.734066,16,short_path,37431,153197,153153
1613829436.7490041,0,long_path,8278,8507,8494
1613829436.824136,16,short_path,37590,153222,153172
1613829436.839038,0,long_path,8250,22155,8532
1613829436.929249,16,short_path,37581,153226,153192
1613829436.929742,0,long_path,8492,8515,8460
1613829437.0041971,16,short_path,37626,153197,153142
1613829437.034027,0,long_path,8236,8541,8494
1613829437.094012,16,short_path,37686,153490,153473
1613829437.1093278,0,long_path,8243,8507,8472
1613829437.1840441,16,short_path,37960,153692,153618
1613829437.199192,0,long_path,8465,8488,8478
1613829437.2741919,16,short_path,37817,153970,153916
1613829437.289205,0,long_path,8257,8386,8530
1613829437.364179,16,short_path,37657,154220,154191
1613829437.37937,0,long_path,8249,8535,8534
1613829437.4540212,16,short_path,37936,154603,154738
1613829437.46908,0,long_path,8294,8571,8671
1613829437.559318,16,short_path,37988,154860,154800
1613829437.559789,0,long_path,8227,8525,8489
1613829437.633782,16,short_path,38068,155133,155135
