timestamp,idx,path,c1,c2,c3
1613790376.697106,16,short_path,37168,137662,137639
1613790376.712202,0,long_path,8279,8529,8510
1613790376.786935,16,short_path,37170,137753,137689
1613790376.802058,0,long_path,8281,8530,8527
1613790376.877162,16,short_path,37201,137783,137743
1613790376.8920598,0,long_path,8246,8509,8538
1613790376.967044,16,short_path,37225,137813,137759
1613790376.982204,0,long_path,8252,8537,8541
1613790377.05694,16,short_path,37227,137813,137794
1613790377.057461,0,long_path,8258,8534,8550
1613790377.1469939,16,short_path,37231,137877,137828
1613790377.162194,0,long_path,8295,8521,8520
1613790377.236904,16,short_path,37237,137907,137855
1613790377.237354,0,long_path,8263,8498,8472
1613790377.326756,16,short_path,38049,137914,137871
1613790377.357238,0,long_path,8332,8525,8543
1613790377.41693,16,short_path,37239,137975,137895
1613790377.417444,0,long_path,8314,8482,8460
1613790377.5217059,16,short_path,37244,137992,137969
1613790377.522145,0,long_path,8511,8511,8517
1613790377.596967,16,short_path,37274,138038,138015
1613790377.5974588,0,long_path,8286,8502,8530
1613790377.687027,16,short_path,37278,138037,137990
1613790377.6874812,0,long_path,8254,8537,8520
1613790377.777045,16,short_path,37273,138012,137976
1613790377.777584,0,long_path,8295,8526,8538
1613790377.867091,16,short_path,37283,138051,138024
1613790377.8675241,0,long_path,8254,8523,8524
1613790377.956991,16,short_path,37262,138045,138020
1613790377.972234,0,long_path,8547,8513,8523
1613790378.046889,16,short_path,37250,138089,138025
1613790378.047391,0,long_path,8254,8545,8541
1613790378.151617,16,short_path,37273,138120,138050
1613790378.152134,0,long_path,8296,8514,8499
1613790378.226887,16,short_path,37261,138131,138108
1613790378.227404,0,long_path,8239,8484,8517
1613790378.3171232,16,short_path,37328,138196,138139
1613790378.332062,0,long_path,8293,8592,8480
1613790378.406552,16,short_path,37199,138430,138150
1613790378.4218109,0,long_path,8322,8699,8565
1613790378.496674,16,short_path,37281,138166,137901
1613790378.527238,0,long_path,8273,8528,8354
1613790378.602091,16,short_path,37245,138152,138137
1613790378.602646,0,long_path,8250,8505,8546
1613790378.6769228,16,short_path,37329,138158,138097
1613790378.707232,0,long_path,8271,8523,8505
1613790378.781895,16,short_path,37286,138170,138120
1613790378.782368,0,long_path,8255,8510,8502
1613790378.8571,16,short_path,37307,138182,138145
1613790378.85763,0,long_path,8242,7096,8481
1613790378.946926,16,short_path,37320,138208,138156
1613790378.977008,0,long_path,8258,8525,8543
1613790379.0368938,16,short_path,37304,138204,138093
1613790379.037348,0,long_path,8269,8541,8478
1613790379.126457,16,short_path,37304,138155,138075
1613790379.142186,0,long_path,8262,8500,8487
1613790379.217072,16,short_path,37421,138141,138114
1613790379.218233,0,long_path,8343,8512,8543
1613790379.306892,16,short_path,37358,138222,138167
1613790379.3221078,0,long_path,8273,8019,8524
1613790379.396919,16,short_path,37200,138184,138151
1613790379.412161,0,long_path,8285,8514,8500
1613790379.48687,16,short_path,37337,138160,138143
1613790379.487413,0,long_path,8278,8509,8501
1613790379.5921202,16,short_path,37315,138165,138161
1613790379.592584,0,long_path,8254,8536,8476
1613790379.68205,16,short_path,37352,138215,138161
1613790379.68257,0,long_path,8294,8507,8504
1613790379.787052,16,short_path,37353,138220,138151
1613790379.801972,0,long_path,8247,8523,8507
1613790379.8620968,16,short_path,37179,138065,138029
1613790379.862624,0,long_path,8292,8535,8533
1613790379.951873,16,short_path,37300,137967,137927
1613790379.9523258,0,long_path,8242,8561,8566
1613790380.041941,16,short_path,37237,137867,137843
1613790380.042461,0,long_path,8280,8523,8523
